p,n,time,reg,strategy,gaps,primals,it,s,relgaps,μ0
1000,500,1.9073486328125e-5,0.1,newton,9687.727104924865,500.0,1,10,19.375454209849728,$\mu_0 = 10$
1000,500,0.0038650035858154297,0.1,newton,5601.86662869275,-3727.2883097096865,1,10,1.5029335439653908,$\mu_0 = 10$
1000,500,0.009183883666992188,0.1,newton,2576.677626521485,-6752.41039749204,1,10,0.38159375316975797,$\mu_0 = 10$
1000,500,0.019604921340942383,0.1,newton,1028.5977218306161,-8243.703939948444,1,10,0.1247737339093535,$\mu_0 = 10$
1000,500,0.037999868392944336,0.1,newton,518.914575051469,-8738.838516486123,1,10,0.05938026822128806,$\mu_0 = 10$
1000,500,0.042140960693359375,0.1,newton,309.44093199082454,-8924.870255440363,1,10,0.03467175691458345,$\mu_0 = 10$
1000,500,0.04590296745300293,0.1,newton,196.54457392129007,-8989.320524098008,1,10,0.021864230271287543,$\mu_0 = 10$
1000,500,0.05615401268005371,0.1,newton,68.78041909523745,-9009.116756503907,1,10,0.00763453521074451,$\mu_0 = 10$
1000,500,0.06000995635986328,0.1,newton,29.044931478249055,-9013.205802922377,1,10,0.003222486217815168,$\mu_0 = 10$
1000,500,0.06484699249267578,0.1,newton,16.722748791482445,-9013.900262000509,1,10,0.0018552178641225686,$\mu_0 = 10$
1000,500,0.06869292259216309,0.1,newton,7.3981259639786,-9014.07391854899,1,10,0.0008207305632090367,$\mu_0 = 10$
1000,500,0.07318496704101562,0.1,newton,5.659046863496769,-9014.130714558532,1,10,0.0006277972932383776,$\mu_0 = 10$
1000,500,0.07694697380065918,0.1,newton,2.9955963873144356,-9014.152500233342,1,10,0.00033232146751864815,$\mu_0 = 10$
1000,500,0.08141803741455078,0.1,newton,1.9836611904429446,-9014.161458715856,1,10,0.00022006053469620613,$\mu_0 = 10$
1000,500,0.08509993553161621,0.1,newton,1.4733424502774142,-9014.165545126063,1,10,0.00016344745865844973,$\mu_0 = 10$
1000,500,0.08923697471618652,0.1,newton,1.036186841343806,-9014.167456291874,1,10,0.00011495091991224873,$\mu_0 = 10$
1000,500,0.09323000907897949,0.1,newton,0.7637691608215391,-9014.168314563734,1,10,8.472985351156091e-5,$\mu_0 = 10$
1000,500,0.09821891784667969,0.1,newton,0.5216015069036075,-9014.168735425412,1,10,5.786462648005792e-5,$\mu_0 = 10$
1000,500,0.10176801681518555,0.1,newton,0.36843282095651375,-9014.168942990125,1,10,4.0872633216290645e-5,$\mu_0 = 10$
1000,500,0.10543203353881836,0.1,newton,0.27971586340572685,-9014.169048510485,1,10,3.1030687565366607e-5,$\mu_0 = 10$
1000,500,0.10938000679016113,0.1,newton,0.2124148789098399,-9014.16910314025,1,10,2.3564554478553248e-5,$\mu_0 = 10$
1000,500,0.11444807052612305,0.1,newton,0.16002335123084777,-9014.16913167167,1,10,1.7752423866621146e-5,$\mu_0 = 10$
1000,500,0.11837387084960938,0.1,newton,0.11961572003019683,-9014.169146631866,1,10,1.3269744341872162e-5,$\mu_0 = 10$
1000,500,0.1218569278717041,0.1,newton,0.08884962876072677,-9014.169154484403,1,10,9.856663130902698e-6,$\mu_0 = 10$
1000,500,0.12549901008605957,0.1,newton,0.06568063188569795,-9014.169158602892,1,10,7.28637667321941e-6,$\mu_0 = 10$
1000,500,0.12938308715820312,0.1,newton,0.04837253954974585,-9014.16916075904,1,10,5.3662782101232095e-6,$\mu_0 = 10$
1000,500,0.1327810287475586,0.1,newton,0.03551648617576575,-9014.1691618853,1,10,3.940073182333926e-6,$\mu_0 = 10$
1000,500,0.13675189018249512,0.1,newton,0.026007631977336132,-9014.169162472223,1,10,2.8851945762911876e-6,$\mu_0 = 10$
1000,500,0.14016008377075195,0.1,newton,0.01899836247866915,-9014.169162777402,1,10,2.107611043857476e-6,$\mu_0 = 10$
1000,500,0.14376592636108398,0.1,newton,0.013846857036696747,-9014.169162935768,1,10,1.5361212760053252e-6,$\mu_0 = 10$
1000,500,0.14704203605651855,0.1,newton,0.010070932856251602,-9014.169163017814,1,10,1.1172336212159567e-6,$\mu_0 = 10$
1000,500,0.1508960723876953,0.1,newton,0.007310236271223403,-9014.169163060255,1,10,8.109717200760433e-7,$\mu_0 = 10$
1000,500,0.15474486351013184,0.1,newton,0.0052965599425078835,-9014.169163082188,1,10,5.875816003320761e-7,$\mu_0 = 10$
1000,500,0.1580829620361328,0.1,newton,0.0038309985411615344,-9014.169163093515,1,10,4.249974092838966e-7,$\mu_0 = 10$
1000,500,0.16171598434448242,0.1,newton,0.0027665396191878244,-9014.169163099361,1,10,3.0691010664776554e-7,$\mu_0 = 10$
1000,500,0.16504406929016113,0.1,newton,0.002001415596168954,-9014.169163102375,1,10,2.2202995749861586e-7,$\mu_0 = 10$
1000,500,0.16897201538085938,0.1,newton,0.0014296355675469385,-9014.169163103932,1,10,1.585987062899382e-7,$\mu_0 = 10$
1000,500,0.17263507843017578,0.1,newton,0.001032012902214774,-9014.169163104734,1,10,1.1448785612309494e-7,$\mu_0 = 10$
1000,500,0.1768789291381836,0.1,newton,0.0007419903304253239,-9014.169163105147,1,10,8.231377922906958e-8,$\mu_0 = 10$
1000,500,0.18051695823669434,0.1,newton,0.0005306558123265859,-9014.169163105364,1,10,5.8869076309166576e-8,$\mu_0 = 10$
1000,500,0.18388104438781738,0.1,newton,0.00038063623833295424,-9014.169163105473,1,10,4.2226436119135486e-8,$\mu_0 = 10$
1000,500,0.1876230239868164,0.1,newton,0.0002764834862318821,-9014.16916310553,1,10,3.067209869585241e-8,$\mu_0 = 10$
1000,500,0.19097900390625,0.1,newton,0.0001951994108821964,-9014.169163105558,1,10,2.165473127364146e-8,$\mu_0 = 10$
1000,500,0.19466304779052734,0.1,newton,0.00013475330160872545,-9014.169163105575,1,10,1.4949054002698575e-8,$\mu_0 = 10$
1000,500,0.1985008716583252,0.1,newton,0.00010189319255005103,-9014.16916310558,1,10,1.1303669889743513e-8,$\mu_0 = 10$
1000,500,0.20202207565307617,0.1,newton,6.928438961040229e-5,-9014.169163105591,1,10,7.68616478754124e-9,$\mu_0 = 10$
1000,500,0.20580792427062988,0.1,newton,5.240606878942344e-5,-9014.16916310559,1,10,5.813743656366922e-9,$\mu_0 = 10$
1000,500,0.20915508270263672,0.1,newton,3.71312526112888e-5,-9014.169163105595,1,10,4.11920965087549e-9,$\mu_0 = 10$
1000,500,0.2129349708557129,0.1,newton,2.64823465840891e-5,-9014.169163105587,1,10,2.9378577331873954e-9,$\mu_0 = 10$
1000,500,0.21663808822631836,0.1,newton,1.888947190309409e-5,-9014.16916310559,1,10,2.0955311090019783e-9,$\mu_0 = 10$
1000,500,0.22034788131713867,0.1,newton,1.2853155567427166e-5,-9014.169163105593,1,10,1.4258835545303825e-9,$\mu_0 = 10$
1000,500,0.22401094436645508,0.1,newton,9.742745533003472e-6,-9014.16916310559,1,10,1.0808256819585657e-9,$\mu_0 = 10$
1000,500,0.22740507125854492,0.1,newton,6.760184987797402e-6,-9014.169163105593,1,10,7.499509788951375e-10,$\mu_0 = 10$
1000,500,0.23137998580932617,0.1,newton,4.940935468766838e-6,-9014.169163105591,1,10,5.48129880786991e-10,$\mu_0 = 10$
1000,500,0.23476886749267578,0.1,newton,3.4622025850694627e-6,-9014.169163105591,1,10,3.840844921393347e-10,$\mu_0 = 10$
1000,500,0.2383880615234375,0.1,newton,2.4052915250649676e-6,-9014.16916310559,1,10,2.668345225769303e-10,$\mu_0 = 10$
1000,500,0.24220705032348633,0.1,newton,1.7292732081841677e-6,-9014.169163105593,1,10,1.9183944486664066e-10,$\mu_0 = 10$
1000,500,0.2459709644317627,0.1,newton,1.2117161531932652e-6,-9014.16916310559,1,10,1.3442349830228845e-10,$\mu_0 = 10$
1000,500,0.25005006790161133,0.1,newton,8.587212505517527e-7,-9014.169163105593,1,10,1.0e-10,$\mu_0 = 10$
1000,500,2.09808349609375e-5,0.1,newton,47427.2612589916,500.0,1,10,94.8545225179832,$\mu_0 = 30$
1000,500,0.004620075225830078,0.1,newton,31405.195569334664,-15884.156742349162,1,10,1.977139616458484,$\mu_0 = 30$
1000,500,0.009044170379638672,0.1,newton,19899.42367998538,-27373.616840009494,1,10,0.7269563169635743,$\mu_0 = 30$
1000,500,0.016112089157104492,0.1,newton,7626.587169967977,-39553.95615998671,1,10,0.19281477531906482,$\mu_0 = 30$
1000,500,0.051261186599731445,0.1,newton,4295.50806490166,-42885.41243723666,1,10,0.10016245200365487,$\mu_0 = 30$
1000,500,0.05624198913574219,0.1,newton,2618.455800621603,-44542.31340513541,1,10,0.05878580613461611,$\mu_0 = 30$
1000,500,0.06048703193664551,0.1,newton,1500.1757604495215,-45647.75026507984,1,10,0.03286417735239723,$\mu_0 = 30$
1000,500,0.2019820213317871,0.1,newton,794.338822102618,-46326.15845930113,1,10,0.017146658573049343,$\mu_0 = 30$
1000,500,0.20575308799743652,0.1,newton,443.024193011086,-46610.84814003714,1,10,0.009504744296436505,$\mu_0 = 30$
1000,500,0.2093791961669922,0.1,newton,125.08177809735207,-46682.32298853554,1,10,0.0026794248891185263,$\mu_0 = 30$
1000,500,0.21263909339904785,0.1,newton,33.82140617243567,-46688.44568772819,1,10,0.0007244063423881649,$\mu_0 = 30$
1000,500,0.21626901626586914,0.1,newton,10.564042663965665,-46688.63032588432,1,10,0.00022626585081269622,$\mu_0 = 30$
1000,500,0.22418212890625,0.1,newton,7.347575317427982,-46688.656506800784,1,10,0.00015737388623203832,$\mu_0 = 30$
