p,n,method,time,reg,strategy,gaps,primals,it,s,relgaps,μ0
1000,500,direct_newton,3.0994415283203125e-5,0.05,Direct-CD + Newton,321.3889850537346,346.5735902799727,seed = 1,10,0.9273325898667201,0.99
1000,500,direct_newton,0.009629964828491211,0.05,Direct-CD + Newton,102.80304441495251,108.77730502342267,seed = 1,10,0.9450780601046905,0.99
1000,500,direct_newton,0.16167593002319336,0.05,Direct-CD + Newton,50.04566655327832,77.91347320280396,seed = 1,10,0.6423236507890303,0.99
1000,500,direct_newton,0.16945886611938477,0.05,Direct-CD + Newton,36.39929135171404,66.71383892893769,seed = 1,10,0.5456033101390834,0.99
1000,500,direct_newton,0.17786693572998047,0.05,Direct-CD + Newton,29.548438901567586,61.751543238319385,seed = 1,10,0.4785052705084714,0.99
1000,500,direct_newton,0.19457507133483887,0.05,Direct-CD + Newton,27.263950873183276,58.908226226402554,seed = 1,10,0.4628207742735195,0.99
1000,500,direct_newton,0.2013540267944336,0.05,Direct-CD + Newton,22.301441882037118,57.19424253691582,seed = 1,10,0.3899245954283376,0.99
1000,500,direct_newton,0.20789694786071777,0.05,Direct-CD + Newton,19.05443348962286,56.091087557124936,seed = 1,10,0.33970518881840583,0.99
1000,500,direct_newton,0.2180640697479248,0.05,Direct-CD + Newton,14.147099668457685,55.43520154256581,seed = 1,10,0.2552006536423406,0.99
1000,500,direct_newton,0.22496294975280762,0.05,Direct-CD + Newton,12.150137222607242,55.021786592502835,seed = 1,10,0.22082411304802663,0.99
1000,500,direct_newton,0.23221898078918457,0.05,Direct-CD + Newton,9.46671224686878,54.741328580048226,seed = 1,10,0.17293537611213822,0.99
1000,500,direct_newton,0.23903298377990723,0.05,Direct-CD + Newton,9.926149836237819,54.55123883388525,seed = 1,10,0.18196011765129805,0.99
1000,500,direct_newton,0.24633193016052246,0.05,Direct-CD + Newton,6.520733570343445,54.42795617447509,seed = 1,10,0.11980485817693542,0.99
1000,500,direct_newton,0.25292205810546875,0.05,Direct-CD + Newton,7.792235670360739,54.34161197476181,seed = 1,10,0.14339353190295004,0.99
1000,500,direct_newton,0.2595560550689697,0.05,Direct-CD + Newton,5.641465892812747,54.27833651727518,seed = 1,10,0.10393586566561848,0.99
