p,intercept_share,reg,barρ2,newton_reached_tol,H00,T_gradient,H00_over_L0,gradient_reached_tol,T_newton,s,μ0,tol,α,intercept_star,λmax,asymptotic_ratio,coefnorm_star,L0,n,μ0_label,quantity,ratio
1000,0.4516004485675477,0.05,0.0018666782087835697,true,37.96967009921479,115,0.3037573607937183,true,110,10,0.5,1.0e-6,0.0,1.3572631502003758,69.52168402434378,3.2921012922518123,3.005451288867275,125.0,500,$\mu_0 = 0.5$,Empirical $T_{\mathrm{G}}/T_{\mathrm{N}}$,1.0454545454545454
1000,0.31606006037788914,0.05,0.012043770290998106,true,37.96967009921643,224,0.30375736079373145,true,112,10,0.5,1.0e-6,0.1,0.9499031158221736,69.52168402434384,3.29210129225167,3.005451288867205,125.0,500,$\mu_0 = 0.5$,Empirical $T_{\mathrm{G}}/T_{\mathrm{N}}$,2.0
1000,0.18051967218711903,0.05,0.04137129419464616,true,37.969670099214945,604,0.30375736079371957,true,187,10,0.5,1.0e-6,0.2,0.5425430814407217,69.52168402434381,3.2921012922517985,3.0054512888675347,125.0,500,$\mu_0 = 0.5$,Empirical $T_{\mathrm{G}}/T_{\mathrm{N}}$,3.229946524064171
1000,0.0449792839968881,0.05,0.08656498498541453,true,37.96967009921372,1095,0.3037573607937098,true,339,10,0.5,1.0e-6,0.3,0.13518304706079431,69.52168402434378,3.2921012922519046,3.0054512888677145,125.0,500,$\mu_0 = 0.5$,Empirical $T_{\mathrm{G}}/T_{\mathrm{N}}$,3.230088495575221
1000,0.09056110418759059,0.05,0.14312124316028405,true,37.96967009921658,1997,0.3037573607937326,true,607,10,0.5,1.0e-6,0.4,-0.27217698730187734,69.52168402434381,3.292101292251657,3.0054512888677127,125.0,500,$\mu_0 = 0.5$,Empirical $T_{\mathrm{G}}/T_{\mathrm{N}}$,3.2899505766062602
1000,0.22610149237681948,0.05,0.20630485797807943,true,37.96967009921661,3313,0.30375736079373283,true,1003,10,0.5,1.0e-6,0.5,-0.6795370216788189,69.52168402434381,3.2921012922516546,3.005451288867684,125.0,500,$\mu_0 = 0.5$,Empirical $T_{\mathrm{G}}/T_{\mathrm{N}}$,3.30309072781655
1000,0.3616418805658171,0.05,0.27192171497250517,true,37.96967009921695,4862,0.3037573607937356,true,1487,10,0.5,1.0e-6,0.6,-1.0868970560550681,69.5216840243438,3.292101292251625,3.0054512888676843,125.0,500,$\mu_0 = 0.5$,Empirical $T_{\mathrm{G}}/T_{\mathrm{N}}$,3.269670477471419
1000,0.4971822687546735,0.05,0.33672641560540345,true,37.9696700992171,6709,0.3037573607937368,true,2038,10,0.5,1.0e-6,0.7,-1.494257090430878,69.52168402434378,3.292101292251612,3.0054512888676546,125.0,500,$\mu_0 = 0.5$,Empirical $T_{\mathrm{G}}/T_{\mathrm{N}}$,3.2919528949950934
1000,0.6327226569435014,0.05,0.3985013185066981,true,37.96967009921734,8846,0.3037573607937387,true,2717,10,0.5,1.0e-6,0.8,-1.9016171248066096,69.5216840243438,3.292101292251591,3.0054512888676492,125.0,500,$\mu_0 = 0.5$,Empirical $T_{\mathrm{G}}/T_{\mathrm{N}}$,3.2557968347442032
1000,0.7682630451326248,0.05,0.45593045129474774,true,37.96967009921691,11260,0.3037573607937353,true,3460,10,0.5,1.0e-6,0.9,-2.308977159183249,69.52168402434377,3.292101292251628,3.005451288867671,125.0,500,$\mu_0 = 0.5$,Empirical $T_{\mathrm{G}}/T_{\mathrm{N}}$,3.254335260115607
1000,0.9038034333215339,0.05,0.508389896652407,true,37.96967009921731,13968,0.3037573607937385,true,4291,10,0.5,1.0e-6,1.0,-2.7163371935591933,69.52168402434377,3.2921012922515933,3.00545128886763,125.0,500,$\mu_0 = 0.5$,Empirical $T_{\mathrm{G}}/T_{\mathrm{N}}$,3.255185271498485
1000,1.1348194884231741,0.05,0.004494704729945432,true,21.276961587989145,258,0.17021569270391315,true,127,10,0.9,1.0e-6,0.0,3.543862417269902,46.586478514013855,5.874898983253443,3.1228424021815844,125.0,500,$\mu_0 = 0.9$,Empirical $T_{\mathrm{G}}/T_{\mathrm{N}}$,2.031496062992126
1000,1.0982143890320903,0.05,0.014675910365053075,true,21.27696158799242,658,0.17021569270393938,true,157,10,0.9,1.0e-6,0.1,3.4295504607547054,46.58647851401385,5.874898983252539,3.1228424021809937,125.0,500,$\mu_0 = 0.9$,Empirical $T_{\mathrm{G}}/T_{\mathrm{N}}$,4.191082802547771
1000,1.0616092896404732,0.05,0.04379586844624011,true,21.276961587994077,1730,0.17021569270395262,true,307,10,0.9,1.0e-6,0.2,3.315238504238583,46.58647851401385,5.8748989832520815,3.122842402181059,125.0,500,$\mu_0 = 0.9$,Empirical $T_{\mathrm{G}}/T_{\mathrm{N}}$,5.635179153094462
1000,1.025004190249555,0.05,0.08861977839298198,true,21.27696158799182,3441,0.17021569270393455,true,589,10,0.9,1.0e-6,0.3,3.20092654772499,46.58647851401386,5.874898983252705,3.122842402181467,125.0,500,$\mu_0 = 0.9$,Empirical $T_{\mathrm{G}}/T_{\mathrm{N}}$,5.842105263157895
1000,0.9883990908582093,0.05,0.14471417142284035,true,21.27696158799103,5759,0.17021569270392822,true,1000,10,0.9,1.0e-6,0.4,3.0866145912097567,46.586478514013855,5.8748989832529235,3.122842402181597,125.0,500,$\mu_0 = 0.9$,Empirical $T_{\mathrm{G}}/T_{\mathrm{N}}$,5.759
1000,0.951793991466927,0.05,0.2074125685018437,true,21.276961587990595,8665,0.17021569270392475,true,1484,10,0.9,1.0e-6,0.5,2.972302634694689,46.58647851401387,5.874898983253043,3.122842402181702,125.0,500,$\mu_0 = 0.9$,Empirical $T_{\mathrm{G}}/T_{\mathrm{N}}$,5.8389487870619945
1000,0.9151888920756509,0.05,0.27257328853734103,true,21.276961587990236,12124,0.1702156927039219,true,2082,10,0.9,1.0e-6,0.6,2.8579906781795597,46.58647851401386,5.874898983253142,3.122842402181728,125.0,500,$\mu_0 = 0.9$,Empirical $T_{\mathrm{G}}/T_{\mathrm{N}}$,5.823246878001921
1000,0.8785837926845904,0.05,0.3369822324677362,true,21.276961587990115,16116,0.17021569270392092,true,2777,10,0.9,1.0e-6,0.7,2.7436787216651126,46.586478514013876,5.874898983253176,3.1228424021817656,125.0,500,$\mu_0 = 0.9$,Empirical $T_{\mathrm{G}}/T_{\mathrm{N}}$,5.80338494778538
1000,0.8419786932936619,0.05,0.3984344640437926,true,21.276961587989856,20611,0.17021569270391884,true,3554,10,0.9,1.0e-6,0.8,2.6293667651510773,46.58647851401386,5.874898983253247,3.122842402181806,125.0,500,$\mu_0 = 0.9$,Empirical $T_{\mathrm{G}}/T_{\mathrm{N}}$,5.79938097917839
1000,0.8053735939023142,0.05,0.4556137780603225,true,21.276961587989558,25633,0.17021569270391645,true,4418,10,0.9,1.0e-6,0.9,2.515054808635722,46.586478514013876,5.874898983253329,3.1228424021818366,125.0,500,$\mu_0 = 0.9$,Empirical $T_{\mathrm{G}}/T_{\mathrm{N}}$,5.801946582163875
1000,0.7687684945116113,0.05,0.5078887378927065,true,21.2769615879893,31092,0.1702156927039144,true,5378,10,0.9,1.0e-6,1.0,2.400742852122377,46.58647851401389,5.8748989832534,3.122842402181866,125.0,500,$\mu_0 = 0.9$,Empirical $T_{\mathrm{G}}/T_{\mathrm{N}}$,5.781331349944217
1000,0.4516004485675477,0.05,0.0018666782087835697,true,37.96967009921479,115,0.3037573607937183,true,110,10,0.5,1.0e-6,0.0,1.3572631502003758,69.52168402434378,3.2921012922518123,3.005451288867275,125.0,500,$\mu_0 = 0.5$,Leading-order prediction${}$,1.0013020915485518
1000,0.31606006037788914,0.05,0.012043770290998106,true,37.96967009921643,224,0.30375736079373145,true,112,10,0.5,1.0e-6,0.1,0.9499031158221736,69.52168402434384,3.29210129225167,3.005451288867205,125.0,500,$\mu_0 = 0.5$,Leading-order prediction${}$,1.0084876092292758
