μ0,reg,strategy,passes
0.5,0.5,gradient,11.0
0.7,0.5,gradient,15.666666666666666
0.9,0.5,gradient,16.0
0.95,0.5,gradient,23.666666666666668
0.99,0.5,gradient,55.0
0.5,0.2,gradient,25.333333333333332
0.7,0.2,gradient,29.0
0.9,0.2,gradient,39.666666666666664
0.95,0.2,gradient,60.666666666666664
0.99,0.2,gradient,161.33333333333334
0.5,0.1,gradient,53.666666666666664
0.7,0.1,gradient,60.0
0.9,0.1,gradient,89.33333333333333
0.95,0.1,gradient,140.33333333333334
0.99,0.1,gradient,382.6666666666667
0.5,0.05,gradient,111.66666666666667
0.7,0.05,gradient,138.66666666666666
0.9,0.05,gradient,211.66666666666666
0.95,0.05,gradient,337.0
0.99,0.05,gradient,878.3333333333334
0.5,0.02,gradient,256.6666666666667
0.7,0.02,gradient,322.0
0.9,0.02,gradient,628.0
0.95,0.02,gradient,1091.6666666666667
0.99,0.02,gradient,2792.0
0.5,0.01,gradient,555.0
0.7,0.01,gradient,652.3333333333334
0.9,0.01,gradient,1398.0
0.95,0.01,gradient,2578.6666666666665
0.99,0.01,gradient,4621.333333333333
0.5,0.5,newton,10.666666666666666
0.7,0.5,newton,14.0
0.9,0.5,newton,9.666666666666666
0.95,0.5,newton,15.666666666666666
0.99,0.5,newton,17.666666666666668
0.5,0.2,newton,25.333333333333332
0.7,0.2,newton,25.333333333333332
0.9,0.2,newton,30.0
0.95,0.2,newton,33.0
0.99,0.2,newton,44.333333333333336
0.5,0.1,newton,54.333333333333336
0.7,0.1,newton,55.0
0.9,0.1,newton,60.333333333333336
0.95,0.1,newton,63.0
0.99,0.1,newton,79.66666666666667
0.5,0.05,newton,109.0
0.7,0.05,newton,123.0
0.9,0.05,newton,118.0
0.95,0.05,newton,111.33333333333333
0.99,0.05,newton,129.66666666666666
0.5,0.02,newton,219.66666666666666
0.7,0.02,newton,237.0
0.9,0.02,newton,215.66666666666666
0.95,0.02,newton,247.0
0.99,0.02,newton,414.3333333333333
0.5,0.01,newton,333.3333333333333
0.7,0.01,newton,356.0
0.9,0.01,newton,346.6666666666667
0.95,0.01,newton,481.3333333333333
0.99,0.01,newton,2364.0
0.5,0.5,exact,10.666666666666666
0.7,0.5,exact,13.666666666666666
0.9,0.5,exact,10.333333333333334
0.95,0.5,exact,15.333333333333334
0.99,0.5,exact,16.666666666666668
0.5,0.2,exact,25.333333333333332
0.7,0.2,exact,25.333333333333332
0.9,0.2,exact,30.0
0.95,0.2,exact,32.666666666666664
0.99,0.2,exact,42.666666666666664
0.5,0.1,exact,54.0
0.7,0.1,exact,54.666666666666664
0.9,0.1,exact,60.0
0.95,0.1,exact,62.666666666666664
0.99,0.1,exact,78.0
0.5,0.05,exact,109.33333333333333
0.7,0.05,exact,123.0
0.9,0.05,exact,117.33333333333333
0.95,0.05,exact,112.33333333333333
0.99,0.05,exact,128.66666666666666
0.5,0.02,exact,219.66666666666666
0.7,0.02,exact,236.66666666666666
0.9,0.02,exact,217.0
0.95,0.02,exact,245.66666666666666
0.99,0.02,exact,395.3333333333333
0.5,0.01,exact,333.3333333333333
0.7,0.01,exact,356.3333333333333
0.9,0.01,exact,347.6666666666667
0.95,0.01,exact,472.6666666666667
0.99,0.01,exact,2340.0
