n,passes,wall_time,final_relgap,reg,strategy,reached_tol,ρ,seed,s,p,μ0
500,16,0.38201093673706055,5.605529735991753e-11,0.5,gradient,true,0.6,1,10,1000,0.5
500,13,0.0990591049194336,2.9714835151879136e-11,0.5,gradient,true,0.6,1,10,1000,0.7
500,23,0.18035888671875,5.681660309766077e-11,0.5,gradient,true,0.6,1,10,1000,0.9
500,36,0.5583491325378418,9.062304809619527e-11,0.5,gradient,true,0.6,1,10,1000,0.95
500,87,0.6714010238647461,8.803066357180066e-11,0.5,gradient,true,0.6,1,10,1000,0.99
500,23,0.3648500442504883,8.85835279355139e-11,0.2,gradient,true,0.6,1,10,1000,0.5
500,30,0.23190593719482422,8.767483307642577e-11,0.2,gradient,true,0.6,1,10,1000,0.7
500,62,0.5062999725341797,7.802773067365242e-11,0.2,gradient,true,0.6,1,10,1000,0.9
500,103,1.00947904586792,9.86220871888849e-11,0.2,gradient,true,0.6,1,10,1000,0.95
500,274,2.4002699851989746,9.594647264225669e-11,0.2,gradient,true,0.6,1,10,1000,0.99
500,56,0.44449591636657715,9.901650822374377e-11,0.1,gradient,true,0.6,1,10,1000,0.5
500,64,0.6834201812744141,9.088641537190145e-11,0.1,gradient,true,0.6,1,10,1000,0.7
500,144,1.4166090488433838,9.677249532168579e-11,0.1,gradient,true,0.6,1,10,1000,0.9
500,249,2.320746898651123,9.24969478990032e-11,0.1,gradient,true,0.6,1,10,1000,0.95
500,627,6.147299766540527,9.873220377069399e-11,0.1,gradient,true,0.6,1,10,1000,0.99
500,117,1.185546875,9.627761366390302e-11,0.05,gradient,true,0.6,1,10,1000,0.5
500,152,1.5584628582000732,9.525648270907672e-11,0.05,gradient,true,0.6,1,10,1000,0.7
500,343,3.144191026687622,9.747552233618233e-11,0.05,gradient,true,0.6,1,10,1000,0.9
500,591,5.358697891235352,9.635261177797416e-11,0.05,gradient,true,0.6,1,10,1000,0.95
500,1369,12.661859035491943,7.92981233442068e-11,0.05,gradient,true,0.6,1,10,1000,0.99
500,302,2.7814719676971436,9.935357264273184e-11,0.02,gradient,true,0.6,1,10,1000,0.5
500,426,3.9427108764648438,9.557900984665115e-11,0.02,gradient,true,0.6,1,10,1000,0.7
500,1049,9.592588901519775,9.559693048709448e-11,0.02,gradient,true,0.6,1,10,1000,0.9
500,1935,18.52350401878357,9.38834423490361e-11,0.02,gradient,true,0.6,1,10,1000,0.95
500,4530,43.07675099372864,3.075545878459552e-9,0.02,gradient,true,0.6,1,10,1000,0.99
500,648,5.945617198944092,9.44801692297774e-11,0.01,gradient,true,0.6,1,10,1000,0.5
500,898,8.240056991577148,9.10012174875579e-11,0.01,gradient,true,0.6,1,10,1000,0.7
500,2315,23.178920030593872,9.87394826295607e-11,0.01,gradient,true,0.6,1,10,1000,0.9
500,4710,43.62528085708618,7.118311258954805e-9,0.01,gradient,true,0.6,1,10,1000,0.95
500,5000,34.259135007858276,7.074477834866078e-6,0.01,gradient,false,0.6,1,10,1000,0.99
500,16,0.29656314849853516,5.0190647455997e-11,0.5,newton,true,0.6,1,10,1000,0.5
500,8,0.05010390281677246,5.7509872374672784e-11,0.5,newton,true,0.6,1,10,1000,0.7
500,9,0.07715988159179688,1.685410677111763e-11,0.5,newton,true,0.6,1,10,1000,0.9
500,20,0.3298509120941162,5.066046657930866e-11,0.5,newton,true,0.6,1,10,1000,0.95
500,23,0.19124197959899902,4.510517225995566e-11,0.5,newton,true,0.6,1,10,1000,0.99
500,23,0.17838597297668457,9.869004760799894e-11,0.2,newton,true,0.6,1,10,1000,0.5
500,20,0.3288910388946533,9.00271293921716e-11,0.2,newton,true,0.6,1,10,1000,0.7
500,38,0.3160111904144287,7.176365967807318e-11,0.2,newton,true,0.6,1,10,1000,0.9
500,45,0.5960609912872314,8.08632587503743e-11,0.2,newton,true,0.6,1,10,1000,0.95
500,49,0.38892602920532227,7.745443636753615e-11,0.2,newton,true,0.6,1,10,1000,0.99
500,58,0.7352910041809082,8.246649149127443e-11,0.1,newton,true,0.6,1,10,1000,0.5
500,51,0.4440591335296631,7.747569614231579e-11,0.1,newton,true,0.6,1,10,1000,0.7
500,68,0.8200130462646484,8.823729065109124e-11,0.1,newton,true,0.6,1,10,1000,0.9
500,79,0.6698849201202393,9.191090035553986e-11,0.1,newton,true,0.6,1,10,1000,0.95
500,80,0.8561630249023438,8.755696820329283e-11,0.1,newton,true,0.6,1,10,1000,0.99
500,110,1.0021240711212158,9.24237427950929e-11,0.05,newton,true,0.6,1,10,1000,0.5
500,101,1.1346991062164307,8.550882485020841e-11,0.05,newton,true,0.6,1,10,1000,0.7
500,122,1.1244611740112305,9.336406059356509e-11,0.05,newton,true,0.6,1,10,1000,0.9
500,112,1.2545950412750244,9.727026504553719e-11,0.05,newton,true,0.6,1,10,1000,0.95
500,125,1.5850939750671387,8.24585433297371e-11,0.05,newton,true,0.6,1,10,1000,0.99
500,231,2.3173999786376953,9.149891242083028e-11,0.02,newton,true,0.6,1,10,1000,0.5
500,219,2.2681150436401367,9.454246894780793e-11,0.02,newton,true,0.6,1,10,1000,0.7
500,219,2.3363540172576904,8.742633379301543e-11,0.02,newton,true,0.6,1,10,1000,0.9
500,269,2.831763982772827,8.860490795075186e-11,0.02,newton,true,0.6,1,10,1000,0.95
500,701,14.703782081604004,9.83635646884752e-11,0.02,newton,true,0.6,1,10,1000,0.99
