n,Fstar,time,reg,strategy,gaps,primals,dual_relgaps,dual_cert,it,K,s,relgaps,p
500,146.30070252466783,2.002716064453125e-5,0.05,gradient,658.418253692388,804.7189562170558,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,4.500444921522997,200
500,146.30070252466783,0.04162096977233887,0.05,gradient,268.85403563512654,415.15473815979436,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,1.8376810978730258,200
500,146.30070252466783,0.08470416069030762,0.05,gradient,125.38519087317411,271.68589339784194,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.8570375173149484,200
500,146.30070252466783,0.11608719825744629,0.05,gradient,76.08244857882443,222.38315110349225,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.5200415805658631,200
500,146.30070252466783,0.13942217826843262,0.05,gradient,53.10506157261955,199.40576409728737,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.362985690814885,200
500,146.30070252466783,0.15917420387268066,0.05,gradient,40.2799526890181,186.58065521368593,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.27532302985507867,200
500,146.30070252466783,0.17843103408813477,0.05,gradient,32.20978676246506,178.51048928713288,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.22016153173997335,200
500,146.30070252466783,0.1950831413269043,0.05,gradient,26.68507554332075,172.98577806798858,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.18239882025734885,200
500,146.30070252466783,0.2108631134033203,0.05,gradient,22.71672660404505,169.01742912871288,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.15527421408119876,200
500,146.30070252466783,0.2271289825439453,0.05,gradient,19.72900805736657,166.0297105820344,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.13485244921527328,200
500,146.30070252466783,0.4379281997680664,0.05,gradient,17.40840297023803,163.70910549490586,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.11899056306515542,200
500,146.30070252466783,0.45200109481811523,0.05,gradient,15.55672202845966,161.8574245531275,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.10633388466358618,200
500,146.30070252466783,0.46346116065979004,0.05,gradient,14.053208562204759,160.35391108687259,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.09605701353235294,200
500,146.30070252466783,0.47551417350769043,0.05,gradient,12.815629713158671,159.1163322378265,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.08759786858164828,200
500,146.30070252466783,0.48673105239868164,0.05,gradient,11.778500340315304,158.07920286498313,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.0805088433415371,200
500,146.30070252466783,0.4978921413421631,0.05,gradient,10.898441698616978,157.1991442232848,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.0744934338013817,200
500,146.30070252466783,0.5082411766052246,0.05,gradient,10.142456827413639,156.44315935208147,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.0693260979092258,200
500,146.30070252466783,0.5186131000518799,0.05,gradient,9.488947954241667,155.7896504789095,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.06485920976792119,200
500,146.30070252466783,0.5289301872253418,0.05,gradient,8.917146735811855,155.21784926047968,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.06095081282544307,200
500,146.30070252466783,0.5385329723358154,0.05,gradient,8.412274862337568,154.7129773870054,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.05749989382941734,200
500,146.30070252466783,0.5480899810791016,0.05,gradient,7.963871853145633,154.26457437781346,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.05443495291352303,200
500,146.30070252466783,0.5582840442657471,0.05,gradient,7.5628592528386775,153.8635617775065,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.051693936681975264,200
500,146.30070252466783,0.5680770874023438,0.05,gradient,7.201905201866197,153.50260772653402,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.04922673013584388,200
500,146.30070252466783,0.5784640312194824,0.05,gradient,6.875047831623192,153.17575035629102,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.046992582489233006,200
500,146.30070252466783,0.5889880657196045,0.05,gradient,6.5785001934428635,152.8792027181107,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.04496560904985169,200
500,146.30070252466783,0.600208044052124,0.05,gradient,6.308005561250411,152.60870808591824,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.04311671408540786,200
500,146.30070252466783,0.612091064453125,0.05,gradient,6.059892149849929,152.36059467451776,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.041420800073247555,200
500,146.30070252466783,0.6235170364379883,0.05,gradient,5.831216672345533,152.13191919701336,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.03985774894937589,200
500,146.30070252466783,0.6400611400604248,0.05,gradient,5.620086371029316,151.92078889569714,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.03841462326595261,200
500,146.30070252466783,0.6503231525421143,0.05,gradient,5.424079157982703,151.72478168265053,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.037074867477605904,200
500,146.30070252466783,0.6599910259246826,0.05,gradient,5.243068759561169,151.543771284229,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.03583761847402703,200
500,146.30070252466783,0.6701030731201172,0.05,gradient,5.075394913676831,151.37609743834466,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.03469152797007975,200
500,146.30070252466783,0.6810071468353271,0.05,gradient,4.919327617591819,151.22003014225965,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.033624770986744705,200
500,146.30070252466783,0.691291093826294,0.05,gradient,4.773503361894768,151.0742058865626,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.03262802761381071,200
500,146.30070252466783,0.7015531063079834,0.05,gradient,4.637046861193937,150.93774938586176,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.031695315068033136,200
500,146.30070252466783,0.7110459804534912,0.05,gradient,4.509039268745539,150.80974179341337,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.03082035281399464,200
500,146.30070252466783,0.7200222015380859,0.05,gradient,4.388628840240017,150.68933136490784,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.0299973189773306,200
500,146.30070252466783,0.7290780544281006,0.05,gradient,4.275061333088132,150.57576385775596,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.029221058131059297,200
500,146.30070252466783,0.7384271621704102,0.05,gradient,4.167719562455659,150.46842208712349,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.028487351670460626,200
