p_K,amplitude,strategy,pass,relgaps,p_K_str,amp_str
0.05,0.5,gradient,1,2.25082732775748,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,2,0.905616933008931,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,3,0.4220345758483146,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,4,0.23055585936770046,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,5,0.14587432142634318,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,6,0.10106257420860287,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,7,0.07483648943938621,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,8,0.05803148843444793,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,9,0.0466019678269077,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,10,0.038520992802013175,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,11,0.032589145234828795,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,12,0.028109987290064614,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,13,0.02464300858671172,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,14,0.021894997597099217,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,15,0.01968706413659741,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,16,0.01788368521403229,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,17,0.016382038827095192,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,18,0.015114910457171133,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,19,0.014035787392867106,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,20,0.013104155330656453,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,21,0.012293729235079539,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,22,0.011581031569787832,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,23,0.01094991126848785,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,24,0.010385449983410292,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,25,0.009875392248533657,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,26,0.009412132605163768,$\pi_K = 0.05$,amp = 0.5
