p_K,amplitude,strategy,pass,relgaps,p_K_str,amp_str
0.05,0.5,Gradient,1,2.25082732775748,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,2,0.905616933008931,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,3,0.4220345758483146,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,4,0.23055585936770046,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,5,0.14587432142634318,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,6,0.10106257420860287,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,7,0.07483648943938621,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,8,0.05803148843444793,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,9,0.0466019678269077,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,10,0.038520992802013175,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,11,0.032589145234828795,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,12,0.028109987290064614,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,13,0.02464300858671172,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,14,0.021894997597099217,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,15,0.01968706413659741,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,16,0.01788368521403229,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,17,0.016382038827095192,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,18,0.015114910457171133,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,19,0.014035787392867106,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,20,0.013104155330656453,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,21,0.012293729235079539,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,22,0.011581031569787832,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,23,0.01094991126848785,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,24,0.010385449983410292,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,25,0.009875392248533657,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,26,0.009412132605163768,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,27,0.008987894216221856,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,28,0.008597543809993504,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,29,0.00823639401408128,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,30,0.00790078754908985,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,31,0.007587911199986093,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,32,0.007295016132608321,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,33,0.007020396033158839,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,34,0.006762894407791012,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,35,0.006520219003121932,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,36,0.0062909138860474815,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,37,0.006073828151928131,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,38,0.005867864893336118,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,39,0.005672178669180916,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,40,0.005485913677798606,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,41,0.0053084005284548255,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,42,0.005139053080267835,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,43,0.004977441585502291,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,44,0.004822976404716706,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,45,0.004675235870536039,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,46,0.004533774990651886,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,47,0.004398243313603816,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,48,0.004268303663746765,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,49,0.00414364339746573,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,50,0.004023937661512809,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,51,0.003908962052585496,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,52,0.0037984416696926772,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,53,0.003692179440078023,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,54,0.003589933193391498,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,55,0.0034915189080314962,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,56,0.0033967332311007426,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,57,0.0033054249598959864,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,58,0.003217425260509744,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,59,0.0031325689221145966,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,60,0.00305070841379317,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,61,0.0029717223508933244,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,62,0.002895472886177554,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,63,0.0028218298499993596,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,64,0.0027507209935401923,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,65,0.0026819880415815335,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,66,0.0026155420748445973,$\bar{p}_K = 0.05$,amp = 0.5
