n,p_K,Fstar,passes,time,final_relgap,reg,strategy,amplitude,gaps,primals,reached_tol,dual_relgaps,dual_cert,it,pass,K,s,relgaps,p
500,0.05,146.30070252466783,1000,1.5974044799804688e-5,2.2616595911789793e-6,0.05,gradient,0.5,658.418253692388,804.7189562170558,false,Float64(1000),5.0413609193264335e-5,1,1,5,5,4.500444921522997,200
500,0.05,146.30070252466783,1000,0.030896902084350586,2.2616595911789793e-6,0.05,gradient,0.5,268.85403563512654,415.15473815979436,false,Float64(1000),5.0413609193264335e-5,1,2,5,5,1.8376810978730258,200
500,0.05,146.30070252466783,1000,0.06409788131713867,2.2616595911789793e-6,0.05,gradient,0.5,125.38519087317411,271.68589339784194,false,Float64(1000),5.0413609193264335e-5,1,3,5,5,0.8570375173149484,200
500,0.05,146.30070252466783,1000,0.08735895156860352,2.2616595911789793e-6,0.05,gradient,0.5,76.08244857882443,222.38315110349225,false,Float64(1000),5.0413609193264335e-5,1,4,5,5,0.5200415805658631,200
500,0.05,146.30070252466783,1000,0.10382699966430664,2.2616595911789793e-6,0.05,gradient,0.5,53.10506157261955,199.40576409728737,false,Float64(1000),5.0413609193264335e-5,1,5,5,5,0.362985690814885,200
500,0.05,146.30070252466783,1000,0.11731791496276855,2.2616595911789793e-6,0.05,gradient,0.5,40.2799526890181,186.58065521368593,false,Float64(1000),5.0413609193264335e-5,1,6,5,5,0.27532302985507867,200
500,0.05,146.30070252466783,1000,0.13009405136108398,2.2616595911789793e-6,0.05,gradient,0.5,32.20978676246506,178.51048928713288,false,Float64(1000),5.0413609193264335e-5,1,7,5,5,0.22016153173997335,200
500,0.05,146.30070252466783,1000,0.14100408554077148,2.2616595911789793e-6,0.05,gradient,0.5,26.68507554332075,172.98577806798858,false,Float64(1000),5.0413609193264335e-5,1,8,5,5,0.18239882025734885,200
500,0.05,146.30070252466783,1000,0.15207409858703613,2.2616595911789793e-6,0.05,gradient,0.5,22.71672660404505,169.01742912871288,false,Float64(1000),5.0413609193264335e-5,1,9,5,5,0.15527421408119876,200
500,0.05,146.30070252466783,1000,0.16379094123840332,2.2616595911789793e-6,0.05,gradient,0.5,19.72900805736657,166.0297105820344,false,Float64(1000),5.0413609193264335e-5,1,10,5,5,0.13485244921527328,200
500,0.05,146.30070252466783,1000,0.17474889755249023,2.2616595911789793e-6,0.05,gradient,0.5,17.40840297023803,163.70910549490586,false,Float64(1000),5.0413609193264335e-5,1,11,5,5,0.11899056306515542,200
500,0.05,146.30070252466783,1000,0.18600988388061523,2.2616595911789793e-6,0.05,gradient,0.5,15.55672202845966,161.8574245531275,false,Float64(1000),5.0413609193264335e-5,1,12,5,5,0.10633388466358618,200
500,0.05,146.30070252466783,1000,0.20631194114685059,2.2616595911789793e-6,0.05,gradient,0.5,14.053208562204759,160.35391108687259,false,Float64(1000),5.0413609193264335e-5,1,13,5,5,0.09605701353235294,200
500,0.05,146.30070252466783,1000,0.21498394012451172,2.2616595911789793e-6,0.05,gradient,0.5,12.815629713158671,159.1163322378265,false,Float64(1000),5.0413609193264335e-5,1,14,5,5,0.08759786858164828,200
500,0.05,146.30070252466783,1000,0.22292304039001465,2.2616595911789793e-6,0.05,gradient,0.5,11.778500340315304,158.07920286498313,false,Float64(1000),5.0413609193264335e-5,1,15,5,5,0.0805088433415371,200
500,0.05,146.30070252466783,1000,0.2308800220489502,2.2616595911789793e-6,0.05,gradient,0.5,10.898441698616978,157.1991442232848,false,Float64(1000),5.0413609193264335e-5,1,16,5,5,0.0744934338013817,200
500,0.05,146.30070252466783,1000,0.23812198638916016,2.2616595911789793e-6,0.05,gradient,0.5,10.142456827413639,156.44315935208147,false,Float64(1000),5.0413609193264335e-5,1,17,5,5,0.0693260979092258,200
500,0.05,146.30070252466783,1000,0.24538803100585938,2.2616595911789793e-6,0.05,gradient,0.5,9.488947954241667,155.7896504789095,false,Float64(1000),5.0413609193264335e-5,1,18,5,5,0.06485920976792119,200
500,0.05,146.30070252466783,1000,0.2526590824127197,2.2616595911789793e-6,0.05,gradient,0.5,8.917146735811855,155.21784926047968,false,Float64(1000),5.0413609193264335e-5,1,19,5,5,0.06095081282544307,200
500,0.05,146.30070252466783,1000,0.2594928741455078,2.2616595911789793e-6,0.05,gradient,0.5,8.412274862337568,154.7129773870054,false,Float64(1000),5.0413609193264335e-5,1,20,5,5,0.05749989382941734,200
500,0.05,146.30070252466783,1000,0.2662489414215088,2.2616595911789793e-6,0.05,gradient,0.5,7.963871853145633,154.26457437781346,false,Float64(1000),5.0413609193264335e-5,1,21,5,5,0.05443495291352303,200
