p,passes,n,time,reg,strategy,inner_steps,relgap_after,pass,cum_inner_steps,s,μ0,μ0_label
1000,110,500,3.600120544433594e-5,0.05,newton,1,0.7339599301377809,1,1,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.009441852569580078,0.05,newton,1,0.5619669252059404,2,2,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.04350399971008301,0.05,newton,1,0.4269772394755638,3,3,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.179779052734375,0.05,newton,1,0.2825445098417388,4,4,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.18680405616760254,0.05,newton,1,0.20585741463132504,5,5,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.19498801231384277,0.05,newton,1,0.16400604971699237,6,6,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.20777606964111328,0.05,newton,1,0.10154212558190849,7,7,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.2183079719543457,0.05,newton,1,0.0797539571366831,8,8,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.2249009609222412,0.05,newton,1,0.054380216897933126,9,9,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.23231005668640137,0.05,newton,1,0.044523285293224565,10,10,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.23885798454284668,0.05,newton,1,0.034833212982162624,11,11,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.24561500549316406,0.05,newton,1,0.03134487249520395,12,12,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.2536299228668213,0.05,newton,1,0.02857834726895271,13,13,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.2601799964904785,0.05,newton,1,0.02487051193770818,14,14,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.2672090530395508,0.05,newton,1,0.019674943726116785,15,15,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.27382802963256836,0.05,newton,1,0.015719253336692687,16,16,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.2805600166320801,0.05,newton,1,0.012683354853868543,17,17,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.28706789016723633,0.05,newton,1,0.00999230381792516,18,18,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.2934269905090332,0.05,newton,1,0.007925946411903306,19,19,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.2998809814453125,0.05,newton,1,0.006555489282511315,20,20,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.3062589168548584,0.05,newton,1,0.0054514355553126085,21,21,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.3126230239868164,0.05,newton,1,0.004487680772266463,22,22,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.31894898414611816,0.05,newton,1,0.0037140794652372184,23,23,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.32526302337646484,0.05,newton,1,0.0030623399317876204,24,24,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.3315770626068115,0.05,newton,1,0.0025372933975258355,25,25,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.3379700183868408,0.05,newton,1,0.0021140514006345095,26,26,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.3443129062652588,0.05,newton,1,0.0017658936863985287,27,27,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.3505380153656006,0.05,newton,1,0.0014777937835123945,28,28,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.3568909168243408,0.05,newton,1,0.0012384604605219602,29,29,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.36319398880004883,0.05,newton,1,0.0010391106147949142,30,30,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.36952900886535645,0.05,newton,1,0.0008727227403029455,31,31,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.3758540153503418,0.05,newton,1,0.0007336154297545433,32,32,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.3822810649871826,0.05,newton,1,0.0006171572198047596,33,33,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.3886220455169678,0.05,newton,1,0.0005195491513350275,34,34,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.3949589729309082,0.05,newton,1,0.0004376598287415442,35,35,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.4012889862060547,0.05,newton,1,0.00036889850416978496,36,36,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.40760207176208496,0.05,newton,1,0.0003111156220436524,37,37,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.4139878749847412,0.05,newton,1,0.0002625236743617992,38,38,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.42020606994628906,0.05,newton,1,0.00022163351021687168,39,39,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.4265599250793457,0.05,newton,1,0.00018720266656160076,40,40,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.4329569339752197,0.05,newton,1,0.00015819319703567737,41,41,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.43927788734436035,0.05,newton,1,0.0001337370886591756,42,42,10,0.5,$\mu_0 = 0.5$
