p,passes,n,time,reg,strategy,inner_steps,relgap_after,pass,cum_inner_steps,s,μ0,μ0_label
1000,110,500,3.409385681152344e-5,0.05,exact,3,0.7339586217149892,1,3,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.012562990188598633,0.05,exact,2,0.5619664132684858,2,5,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.020889997482299805,0.05,exact,2,0.42697996959869294,3,7,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.06017899513244629,0.05,exact,2,0.282542302612049,4,9,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.07376694679260254,0.05,exact,2,0.2058570383442369,5,11,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.08679795265197754,0.05,exact,2,0.16400876651638105,6,13,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.22313308715820312,0.05,exact,2,0.10154258787484728,7,15,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.23003411293029785,0.05,exact,2,0.07975387176181509,8,17,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.2374861240386963,0.05,exact,2,0.05437999749655072,9,19,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.24811601638793945,0.05,exact,2,0.04452354516718077,10,21,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.25922203063964844,0.05,exact,2,0.03483306423757706,11,23,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.26572203636169434,0.05,exact,2,0.031345068354437705,12,25,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.27204012870788574,0.05,exact,2,0.028578571637770583,13,27,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.2783370018005371,0.05,exact,2,0.02487062704579388,14,29,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.2851231098175049,0.05,exact,2,0.01967495859695368,15,31,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.2937021255493164,0.05,exact,2,0.01571928906249899,16,33,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.29999208450317383,0.05,exact,2,0.012683256117452097,17,35,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.30621910095214844,0.05,exact,2,0.009992211985263138,18,37,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.31240391731262207,0.05,exact,2,0.007925861463126332,19,39,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.3203589916229248,0.05,exact,2,0.0065554199911905114,20,41,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.3269050121307373,0.05,exact,2,0.0054513787919974995,21,43,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.3330681324005127,0.05,exact,2,0.004487633744665989,22,45,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.33921098709106445,0.05,exact,2,0.003714039896576828,23,47,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.3464059829711914,0.05,exact,2,0.0030623062434880746,24,49,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.35302090644836426,0.05,exact,2,0.0025372615061337116,25,51,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.3592090606689453,0.05,exact,2,0.0021140241865959305,26,53,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.36533093452453613,0.05,exact,2,0.001765870513569204,27,55,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.374269962310791,0.05,exact,2,0.0014777740542472695,28,57,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.3804740905761719,0.05,exact,2,0.0012384436391023447,29,59,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.3875250816345215,0.05,exact,2,0.0010390962375506532,30,61,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.39386796951293945,0.05,exact,2,0.0008727104146430531,31,63,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.40076494216918945,0.05,exact,2,0.0007336048279807783,32,65,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.407073974609375,0.05,exact,1,0.0006171480717380457,33,66,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.413952112197876,0.05,exact,1,0.0005195412315224801,34,67,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.420712947845459,0.05,exact,1,0.00043765295523652423,35,68,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.42743802070617676,0.05,exact,1,0.00036889252533553186,36,69,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.4342210292816162,0.05,exact,1,0.0003111104122432879,37,70,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.44040799140930176,0.05,exact,1,0.00026251912885316095,38,71,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.4474320411682129,0.05,exact,1,0.00022162954096900263,39,72,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.45401597023010254,0.05,exact,1,0.00018719919894849327,40,73,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.4602839946746826,0.05,exact,1,0.00015819016727100028,41,74,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.4666249752044678,0.05,exact,1,0.00013373444182192574,42,75,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.4729950428009033,0.05,exact,1,0.00011310547799349524,43,76,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.4791381359100342,0.05,exact,1,9.569467093035066e-5,44,77,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.4854741096496582,0.05,exact,1,8.099186980309698e-5,45,78,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.4917891025543213,0.05,exact,1,6.856919363902089e-5,46,79,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.4979400634765625,0.05,exact,1,5.8067561231474277e-5,47,80,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.5043070316314697,0.05,exact,1,4.9185461328306174e-5,48,81,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.5104730129241943,0.05,exact,1,4.1957259881341136e-5,49,82,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.5168089866638184,0.05,exact,1,3.68543709600196e-5,50,83,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.5229320526123047,0.05,exact,1,3.230206112022885e-5,51,84,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.5292699337005615,0.05,exact,1,2.825693374620108e-5,52,85,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.5354199409484863,0.05,exact,1,2.467490262085279e-5,53,86,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.5417509078979492,0.05,exact,1,2.1512641416680118e-5,54,87,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.5478949546813965,0.05,exact,1,1.872855514588365e-5,55,88,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.554218053817749,0.05,exact,1,1.6283397963745992e-5,56,89,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.560359001159668,0.05,exact,1,1.4140632175512937e-5,57,90,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.5666699409484863,0.05,exact,1,1.226660028003271e-5,58,91,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.5728199481964111,0.05,exact,1,1.0630564232217633e-5,59,92,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.5789580345153809,0.05,exact,1,9.204652514437292e-6,60,93,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.585284948348999,0.05,exact,1,7.96374525881526e-6,61,94,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.5914239883422852,0.05,exact,1,6.885319788294546e-6,62,95,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.5975661277770996,0.05,exact,1,5.9492729944980164e-6,63,96,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.6039590835571289,0.05,exact,1,5.137732436851928e-6,64,97,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.6101040840148926,0.05,exact,1,4.434864690060643e-6,65,98,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.6162559986114502,0.05,exact,1,3.826686873142378e-6,66,99,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.6226100921630859,0.05,exact,1,3.3008854095259155e-6,67,100,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.6287939548492432,0.05,exact,1,2.84664465325263e-6,68,101,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.6349489688873291,0.05,exact,1,2.45448693850301e-6,69,102,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.6412930488586426,0.05,exact,1,2.1161248589408225e-6,70,103,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.647428035736084,0.05,exact,1,1.8243260198165085e-6,71,104,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.6535770893096924,0.05,exact,1,1.5727901087099709e-6,72,105,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.659919023513794,0.05,exact,1,1.356037866963978e-6,73,106,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.6660540103912354,0.05,exact,1,1.1693113347836717e-6,74,107,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.6722218990325928,0.05,exact,1,1.0084846673371893e-6,75,108,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.6783668994903564,0.05,exact,1,8.699847346293334e-7,76,109,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.684704065322876,0.05,exact,1,7.507206990607654e-7,77,110,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.6908419132232666,0.05,exact,1,6.480217558652838e-7,78,111,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.696984052658081,0.05,exact,1,5.595822897549488e-7,79,112,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.703341007232666,0.05,exact,1,4.834136668314236e-7,80,113,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.7095351219177246,0.05,exact,1,4.178019974257476e-7,81,114,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.7157049179077148,0.05,exact,1,3.6127119133351937e-7,82,115,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.7220649719238281,0.05,exact,1,3.125507349991546e-7,83,116,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.7282469272613525,0.05,exact,1,2.7054763561488175e-7,84,117,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.7343940734863281,0.05,exact,1,2.343220261751469e-7,85,118,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.740541934967041,0.05,exact,1,2.030660066428227e-7,86,119,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.7468791007995605,0.05,exact,1,1.7608531787928642e-7,87,120,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.7530639171600342,0.05,exact,1,1.527834774367171e-7,88,121,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.7592260837554932,0.05,exact,1,1.3264808418206208e-7,89,122,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.765376091003418,0.05,exact,1,1.1523899061054494e-7,90,123,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.7717220783233643,0.05,exact,1,1.0017812038884441e-7,91,124,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.7778830528259277,0.05,exact,1,8.714068555008861e-8,92,125,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.7840230464935303,0.05,exact,1,7.584764699010788e-8,93,126,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.7903549671173096,0.05,exact,1,6.605921324495329e-8,94,127,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.796489953994751,0.05,exact,1,5.756927372155448e-8,95,128,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.8026959896087646,0.05,exact,1,5.020061084211636e-8,96,129,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.8088419437408447,0.05,exact,1,4.3800793560596686e-8,97,130,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.8151950836181641,0.05,exact,1,3.823865247892372e-8,98,131,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.8213460445404053,0.05,exact,1,3.3401261733699293e-8,99,132,10,0.5,$\mu_0 = 0.5$
1000,110,500,0.8275051116943359,0.05,exact,1,2.9191352215763445e-8,100,133,10,0.5,$\mu_0 = 0.5$
1000,121,500,0.13247299194335938,0.05,exact,2,0.020165280227189063,21,57,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.1387159824371338,0.05,exact,2,0.01373456467523368,22,59,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.1447591781616211,0.05,exact,2,0.008507334617435473,23,61,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.1507279872894287,0.05,exact,2,0.007588185590107854,24,63,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.15668106079101562,0.05,exact,2,0.007003085738885669,25,65,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.16267800331115723,0.05,exact,2,0.006324212696130252,26,67,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.16862916946411133,0.05,exact,2,0.005638583308623403,27,69,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.1748051643371582,0.05,exact,2,0.004963291280690731,28,71,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.19736909866333008,0.05,exact,2,0.0040399633431685966,29,73,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.33386707305908203,0.05,exact,2,0.003253339763732666,30,75,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.33980298042297363,0.05,exact,2,0.0025854069987093636,31,77,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.34853315353393555,0.05,exact,2,0.0021151900849412796,32,79,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.3607771396636963,0.05,exact,2,0.0019454700674526324,33,81,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.3714790344238281,0.05,exact,2,0.001646834755792854,34,83,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.37766599655151367,0.05,exact,2,0.0014222089712579674,35,85,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.38366198539733887,0.05,exact,2,0.0012231720328794366,36,87,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.38971495628356934,0.05,exact,2,0.0010456489640154215,37,89,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.3974330425262451,0.05,exact,2,0.0008894877130541893,38,91,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.40596699714660645,0.05,exact,2,0.0007536111464139609,39,93,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.41202402114868164,0.05,exact,2,0.0006364025124793449,40,95,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.41803598403930664,0.05,exact,2,0.0005359747677316994,41,97,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.4240570068359375,0.05,exact,2,0.0004503726003262168,42,99,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.4313700199127197,0.05,exact,2,0.0003777122023811004,43,101,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.4374971389770508,0.05,exact,2,0.000326267709768709,44,103,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.44350695610046387,0.05,exact,2,0.0002879366845252146,45,105,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.4494640827178955,0.05,exact,2,0.0002541375067051666,46,107,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.4554920196533203,0.05,exact,2,0.0002242761625823425,47,109,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.46266698837280273,0.05,exact,2,0.0001978561760211214,48,111,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.4686760902404785,0.05,exact,2,0.000174459175890118,49,113,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.4746739864349365,0.05,exact,2,0.00015372928816868387,50,115,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.4807090759277344,0.05,exact,2,0.00013536081266427317,51,117,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.4876220226287842,0.05,exact,2,0.00011908862312105665,52,119,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.49373316764831543,0.05,exact,2,0.00010468075922750586,53,121,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.4997270107269287,0.05,exact,2,9.193273874171057e-5,54,123,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.5090770721435547,0.05,exact,2,8.066319076696274e-5,55,125,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.5152101516723633,0.05,exact,2,7.071048569309092e-5,56,127,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.5212311744689941,0.05,exact,2,6.19301060157393e-5,57,129,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.5283141136169434,0.05,exact,1,5.419256202141325e-5,58,130,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.5344011783599854,0.05,exact,1,4.738170117312614e-5,59,131,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.5414221286773682,0.05,exact,1,4.139331811361823e-5,60,132,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.5484139919281006,0.05,exact,1,3.613395478875516e-5,61,133,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.5549261569976807,0.05,exact,1,3.151987619245432e-5,62,134,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.5614039897918701,0.05,exact,1,2.747615413544468e-5,63,135,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.5678091049194336,0.05,exact,1,2.393584408660775e-5,64,136,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.5741300582885742,0.05,exact,1,2.0842471451914757e-5,65,137,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.5804879665374756,0.05,exact,1,1.8134674323288163e-5,66,138,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.5865170955657959,0.05,exact,1,1.5769649248557254e-5,67,139,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.592648983001709,0.05,exact,1,1.370872268198277e-5,68,140,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.5986270904541016,0.05,exact,1,1.1910244233871465e-5,69,141,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.6045961380004883,0.05,exact,1,1.0345326260882216e-5,70,142,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.6107749938964844,0.05,exact,1,8.983181879056865e-6,71,143,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.6167240142822266,0.05,exact,1,7.802679642981589e-6,72,144,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.6226551532745361,0.05,exact,1,6.760938656944403e-6,73,145,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.62876296043396,0.05,exact,1,5.867714469879341e-6,74,146,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.6346950531005859,0.05,exact,1,5.0850660326114945e-6,75,147,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.6406111717224121,0.05,exact,1,4.4185413554090105e-6,76,148,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.6468110084533691,0.05,exact,1,3.831737559793834e-6,77,149,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.6528611183166504,0.05,exact,1,3.316173749163177e-6,78,150,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.6588201522827148,0.05,exact,1,2.873369193155052e-6,79,151,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.6647510528564453,0.05,exact,1,2.489792013878217e-6,80,152,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.6706759929656982,0.05,exact,1,2.1602532993626504e-6,81,153,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.6768331527709961,0.05,exact,1,1.866294493124503e-6,82,154,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.6828320026397705,0.05,exact,1,1.621975850989464e-6,83,155,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.6887681484222412,0.05,exact,1,1.3980387160389839e-6,84,156,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.6948890686035156,0.05,exact,1,1.2131258574058319e-6,85,157,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.7008440494537354,0.05,exact,1,1.0491617730927173e-6,86,158,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.7068021297454834,0.05,exact,1,9.100923601257279e-7,87,159,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.7127370834350586,0.05,exact,1,7.904074035812335e-7,88,160,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.7188661098480225,0.05,exact,1,6.873443525377949e-7,89,161,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.7247970104217529,0.05,exact,1,5.924022709504735e-7,90,162,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.7307219505310059,0.05,exact,1,5.104999484744564e-7,91,163,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.736644983291626,0.05,exact,1,4.413144199555188e-7,92,164,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.742825984954834,0.05,exact,1,3.82761777216315e-7,93,165,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.7487781047821045,0.05,exact,1,3.3448302360100584e-7,94,166,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.754755973815918,0.05,exact,1,2.848836210864214e-7,95,167,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.7607040405273438,0.05,exact,1,2.47893198797231e-7,96,168,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.7668821811676025,0.05,exact,1,2.0903496758997727e-7,97,169,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.7728390693664551,0.05,exact,1,1.9000060494974168e-7,98,170,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.7788231372833252,0.05,exact,1,1.5818889959483296e-7,99,171,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.784945011138916,0.05,exact,1,1.3830327985775058e-7,100,172,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.7909021377563477,0.05,exact,1,1.2887831213778398e-7,101,173,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.7969050407409668,0.05,exact,1,9.79434279404261e-8,102,174,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.8028931617736816,0.05,exact,1,9.026404380071534e-8,103,175,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.8090620040893555,0.05,exact,1,7.625862848759929e-8,104,176,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.8150200843811035,0.05,exact,1,7.163073896655613e-8,105,177,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.8209991455078125,0.05,exact,1,6.011818378892815e-8,106,178,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.8269531726837158,0.05,exact,1,5.098919619571042e-8,107,179,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.8330860137939453,0.05,exact,1,4.852303788887994e-8,108,180,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.8390510082244873,0.05,exact,1,3.6293456763089864e-8,109,181,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.8450450897216797,0.05,exact,1,3.544352227145858e-8,110,182,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.8510169982910156,0.05,exact,1,3.480172363372152e-8,111,183,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.8572120666503906,0.05,exact,1,2.9355464100862992e-8,112,184,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.8631889820098877,0.05,exact,1,3.8348090065506156e-8,113,185,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.8691451549530029,0.05,exact,1,2.455095360046567e-8,114,186,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.8750770092010498,0.05,exact,1,2.037793766684263e-8,115,187,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.8811891078948975,0.05,exact,1,1.672124922290136e-8,116,188,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.8871440887451172,0.05,exact,1,1.524284317549825e-8,117,189,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.8931071758270264,0.05,exact,1,1.2685811641880081e-8,118,190,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.8990950584411621,0.05,exact,1,1.0616994505252979e-8,119,191,10,0.99,$\mu_0 = 0.99$
1000,121,500,0.9052729606628418,0.05,exact,1,6.016561322453999e-9,120,192,10,0.99,$\mu_0 = 0.99$
