problem,tol,primal,final_lambda,runtime,F_star,subopt
news20-3pct,0.000316227766016838,0.0497439872575728,0.00228639068886422,0.239000000000001,0.04986797138454396,1.0e-15
news20-3pct,0.000562341325190349,0.0497439872575729,0.00228639068886422,0.226000000000001,0.04986797138454396,1.0e-15
news20-3pct,0.001,0.0497439872575729,0.00228639068886422,0.218,0.04986797138454396,1.0e-15
news20-3pct,0.00177827941003892,0.0497439872575729,0.00228639068886422,0.214,0.04986797138454396,1.0e-15
news20-3pct,0.00316227766016838,0.0497439872575729,0.00228639068886422,0.188000000000001,0.04986797138454396,1.0e-15
news20-3pct,0.00562341325190349,0.0497439872575729,0.00228639068886422,0.192,0.04986797138454396,1.0e-15
news20-3pct,0.01,0.0497439872575729,0.00228639068886422,0.199,0.04986797138454396,1.0e-15
news20-3pct,0.0177827941003892,0.0497439872575728,0.00228639068886422,0.189,0.04986797138454396,1.0e-15
news20-3pct,0.0316227766016838,0.0497439872575728,0.00228639068886422,0.193,0.04986797138454396,1.0e-15
news20-3pct,0.0562341325190349,0.0497439872575728,0.00228639068886422,0.19,0.04986797138454396,1.0e-15
news20-3pct,0.1,0.0497439619824101,0.00228639068886422,0.189,0.04986797138454396,1.0e-15
synthetic,0.000316227766016838,0.117180270614453,0.00374562643338917,0.0169999999999999,0.11716978652319576,1.0484091257242922e-5
synthetic,0.000562341325190349,0.117180210083105,0.00374562643338917,0.0169999999999999,0.11716978652319576,1.0423559909239488e-5
synthetic,0.001,0.117180307192955,0.00374562643338917,0.0140000000000002,0.11716978652319576,1.0520669759234158e-5
synthetic,0.00177827941003892,0.117180307192955,0.00374562643338917,0.0139999999999998,0.11716978652319576,1.0520669759234158e-5
synthetic,0.00316227766016838,0.117180307192955,0.00374562643338917,0.0139999999999998,0.11716978652319576,1.0520669759234158e-5
synthetic,0.00562341325190349,0.117180307192955,0.00374562643338917,0.0140000000000002,0.11716978652319576,1.0520669759234158e-5
synthetic,0.01,0.117180307192955,0.00374562643338917,0.0150000000000001,0.11716978652319576,1.0520669759234158e-5
synthetic,0.0177827941003892,0.117180307192955,0.00374562643338917,0.0150000000000001,0.11716978652319576,1.0520669759234158e-5
synthetic,0.0316227766016838,0.117180307192955,0.00374562643338917,0.0139999999999998,0.11716978652319576,1.0520669759234158e-5
synthetic,0.0562341325190349,0.117180307192955,0.00374562643338917,0.016,0.11716978652319576,1.0520669759234158e-5
synthetic,0.1,0.117180307192955,0.00374562643338917,0.02,0.11716978652319576,1.0520669759234158e-5
w1a,0.000316227766016838,0.0633916754802707,0.00239220465394619,0.0259999999999998,0.06338070661382122,1.0968866449481696e-5
w1a,0.000562341325190349,0.0633922938676105,0.00239220465394619,0.024,0.06338070661382122,1.158725378927472e-5
w1a,0.001,0.0633918899958244,0.00239220465394619,0.0230000000000006,0.06338070661382122,1.1183382003177034e-5
w1a,0.00177827941003892,0.0633920232298854,0.00239220465394619,0.024,0.06338070661382122,1.1316616064169227e-5
w1a,0.00316227766016838,0.0633916544682271,0.00239220465394619,0.0230000000000001,0.06338070661382122,1.0947854405876645e-5
w1a,0.00562341325190349,0.0633916544682271,0.00239220465394619,0.0229999999999997,0.06338070661382122,1.0947854405876645e-5
w1a,0.01,0.0633916544682271,0.00239220465394619,0.0230000000000001,0.06338070661382122,1.0947854405876645e-5
w1a,0.0177827941003892,0.0633915208720817,0.00239220465394619,0.024,0.06338070661382122,1.0814258260480325e-5
w1a,0.0316227766016838,0.0633915208720817,0.00239220465394619,0.024,0.06338070661382122,1.0814258260480325e-5
w1a,0.0562341325190349,0.0633915208720817,0.00239220465394619,0.0250000000000004,0.06338070661382122,1.0814258260480325e-5
w1a,0.1,0.063391357644891,0.00239220465394619,0.0230000000000001,0.06338070661382122,1.0651031069772166e-5
