problem,alg,eps,npasses,primal,final_lambda,runtime,subopt,mode
synthetic,Newton,0.1,93,0.117230562979202,0.00374562643338917,0.117,6.077578027799402e-5,Newton
synthetic,Newton,0.0316227766016838,93,0.117230562979202,0.00374562643338917,0.103,6.077578027799402e-5,Newton
synthetic,Newton,0.01,93,0.117230562979202,0.00374562643338917,0.0970000000000002,6.077578027799402e-5,Newton
synthetic,Newton,0.00316227766016838,93,0.117230562979202,0.00374562643338917,0.103,6.077578027799402e-5,Newton
synthetic,Newton,0.001,93,0.117230562979202,0.00374562643338917,0.0999999999999999,6.077578027799402e-5,Newton
synthetic,Newton,0.000316227766016838,100,0.117230562979202,0.00374562643338917,0.102,6.077578027799402e-5,Newton
synthetic,Newton,0.0001,109,0.117230562979202,0.00374562643338917,0.0989999999999998,6.077578027799402e-5,Newton
synthetic,Newton,3.16227766016838e-5,137,0.117230563602012,0.00374562643338917,0.101,6.0776403088005915e-5,Newton
synthetic,Newton,1.0e-5,185,0.117224208825928,0.00374562643338917,0.107,5.4421627004003215e-5,Newton
synthetic,Newton,3.16227766016838e-6,247,0.117179662414595,0.00374562643338917,0.118,9.875215671001358e-6,Newton
synthetic,Newton,1.0e-6,294,0.117173191287308,0.00374562643338917,0.132,3.4040883840069647e-6,Newton
synthetic,Newton,3.16227766016838e-7,348,0.117170894335456,0.00374562643338917,0.143,1.107136531994235e-6,Newton
synthetic,Newton,1.0e-7,414,0.117170211615494,0.00374562643338917,0.15,4.244165699995861e-7,Newton
synthetic,Newton,3.16227766016838e-8,495,0.117169966314154,0.00374562643338917,0.164,1.791152299951415e-7,Newton
synthetic,Newton,1.0e-8,579,0.11716986670189,0.00374562643338917,0.18,7.950296600223172e-8,Newton
synthetic,Newton,3.16227766016838e-9,679,0.117169792931637,0.00374562643338917,0.196,5.732712998751666e-9,Newton
synthetic,Newton,1.0e-9,775,0.117169791237272,0.00374562643338917,0.238,4.038348003221337e-9,Newton
synthetic,Newton,3.16227766016838e-10,888,0.117169788200434,0.00374562643338917,0.24,1.001509999931649e-9,Newton
synthetic,Newton,1.0e-10,1006,0.117169787553755,0.00374562643338917,0.253,3.548309979173325e-10,Newton
synthetic,Newton,3.16227766016838e-11,1131,0.117169787289175,0.00374562643338917,0.278,9.025100111692552e-11,Newton
synthetic,Newton,1.0e-11,1258,0.117169787219393,0.00374562643338917,0.311,2.046900149377251e-11,Newton
