solver,runtime,primal,subopt
adelie,0.00999999999999979,-27.2337539355231,0.010151109004898018
adelie,0.0110000000000001,-27.2337543344805,0.010150710047497569
adelie,0.0110000000000001,-27.233754335862,0.010150708665999986
adelie,0.0129999999999999,-27.2416837463089,0.002221298219097889
adelie,0.0139999999999998,-27.2337539355369,0.010151108991099278
adelie,0.0139999999999998,-27.2342757940952,0.009629250432798386
adelie,0.0139999999999998,-27.241789785568,0.002115258959999977
adelie,0.0140000000000002,-27.2337934245894,0.010111619938598437
adelie,0.0149999999999997,-27.241683746309,0.002221298218998413
adelie,0.016,-27.2416259968893,0.0022790476386980174
adelie,0.0179999999999998,-27.2425811168383,0.001323927689700355
glmnet,0.00800000000000001,-27.220829721143,0.023075323384997404
glmnet,0.00900000000000001,-27.2207496777434,0.023155366784600062
glmnet,0.0099999999999999,-27.222029045162,0.021875999365999377
glmnet,0.01,-27.2207492651824,0.023155779345600536
glmnet,0.01,-27.2378170593608,0.00608798516719844
glmnet,0.011,-27.2207496777434,0.023155366784600062
glmnet,0.012,-27.2435469766025,0.00035806792550019395
glmnet,0.0129999999999999,-27.2437573051029,0.00014773942509904714
glmnet,0.013,-27.2207496777434,0.023155366784600062
glmnet,0.013,-27.2207433930439,0.023161651484098655
glmnet,0.014,-27.2420529505529,0.0018520939750992227
glmnet,0.0150000000000001,-27.2438512850281,5.375949989883111e-5
glmnet,0.02,-27.2438801590131,2.4885514900319095e-5
glmnet,0.022,-27.2438943771386,1.0667389400254024e-5
glmnet,0.026,-27.243902312854,2.7316739981131377e-6
glmnet,0.032,-27.2439043389011,7.056268991334491e-7
glmnet,0.036,-27.2439047419058,3.0262219752330566e-7
glmnet,0.04,-27.2439049523046,9.222339869552343e-8
glmnet,0.048,-27.2439050306918,1.3836199741490418e-8
glmnet,0.0549999999999999,-27.2439050385728,5.955197224238873e-9
glmnet,0.0649999999999999,-27.2439050407564,3.771599921265079e-9
glmnet,0.0730000000000002,-27.2439050435801,9.478995366407617e-10
glmnet,0.0839999999999999,-27.2439050442386,2.8940050356141e-10
glmnet,0.093,-27.2439050444827,4.530065211838519e-11
glmnet,0.106,-27.243905044528,1.0e-15
skglm ProxNewton,0.012546281999675557,-27.24351401406502,0.0003910304629783923
skglm ProxNewton,0.015586061999783851,-27.243893874026817,1.1170501181823056e-5
skglm ProxNewton,0.016565696001634933,-27.243893874026817,1.1170501181823056e-5
skglm ProxNewton,0.016911409999011084,-27.243893874026817,1.1170501181823056e-5
skglm ProxNewton,0.018646781998540973,-27.2438997949558,5.2495721973855325e-6
skglm ProxNewton,0.01914741900327499,-27.2438997949558,5.2495721973855325e-6
skglm ProxNewton,0.021624805001920322,-27.24390071326454,4.331263458112744e-6
skglm ProxNewton,0.021714856000471627,-27.24390071326454,4.331263458112744e-6
skglm ProxNewton,0.024306646999320947,-27.24390071326454,4.331263458112744e-6
skglm ProxNewton,0.02563501100303256,-27.24390075155186,4.292976139907978e-6
skglm ProxNewton,0.026112744999409188,-27.24390075155186,4.292976139907978e-6
skglm ProxNewton,0.029614798997499747,-27.243900754655613,4.289872386209481e-6
skglm ProxNewton,0.029791522996674757,-27.243900754655613,4.289872386209481e-6
skglm ProxNewton,0.029859161000786116,-27.243900754655613,4.289872386209481e-6
skglm ProxNewton,0.030915439001546474,-27.243900754655613,4.289872386209481e-6
skglm ProxNewton,0.03254563199880067,-27.243900754731364,4.289796635248422e-6
skglm ProxNewton,0.03294452699992689,-27.243900754731364,4.289796635248422e-6
skglm ProxNewton,0.036468302001594566,-27.243900754733268,4.28979473099389e-6
skglm ProxNewton,0.037634688000252936,-27.243900754733268,4.28979473099389e-6
skglm ProxNewton,0.039542326998343924,-27.243900754733414,4.289794585332629e-6
skglm ProxNewton,0.03964946999985841,-27.243900754733414,4.289794585332629e-6
skglm ProxNewton,0.040366716999415075,-27.243900754733414,4.289794585332629e-6
skglm ProxNewton,0.04084958000021288,-27.243900754733414,4.289794585332629e-6
skglm ProxNewton,0.04287026200108812,-27.243900754733424,4.289794574674488e-6
skglm ProxNewton,0.04306913800246548,-27.243900754733424,4.289794574674488e-6
skglm ProxNewton,0.045384978999209125,-27.243900754733424,4.289794574674488e-6
skglm ProxNewton,0.056602738000947284,-27.243900754733424,4.289794574674488e-6
skglm ProxNewton,0.05716523299997789,-27.243900754733424,4.289794574674488e-6
skglm ProxNewton,0.05865319700023974,-27.243900754733428,4.2897945711217744e-6
skglm ProxNewton,3.157251033000648,-27.24351401406502,0.0003910304629783923
