problem,solver,tol,n_iter,primal,runtime
congress109,ProxNewton,0.1,8,-27.24351401406502,3.157251033000648
congress109,ProxNewton,0.0562341325190349,8,-27.24351401406502,0.012546281999675557
congress109,ProxNewton,0.0316227766016838,9,-27.243893874026817,0.016565696001634933
congress109,ProxNewton,0.0177827941003892,9,-27.243893874026817,0.016911409999011084
congress109,ProxNewton,0.01,9,-27.243893874026817,0.015586061999783851
congress109,ProxNewton,0.0056234132519035,10,-27.2438997949558,0.018646781998540973
congress109,ProxNewton,0.0031622776601684,10,-27.2438997949558,0.01914741900327499
congress109,ProxNewton,0.0017782794100389,11,-27.24390071326454,0.021714856000471627
congress109,ProxNewton,0.001,11,-27.24390071326454,0.024306646999320947
congress109,ProxNewton,0.0005623413251903,11,-27.24390071326454,0.021624805001920322
congress109,ProxNewton,0.0003162277660168,12,-27.24390075155186,0.02563501100303256
congress109,ProxNewton,0.0001778279410039,12,-27.24390075155186,0.026112744999409188
congress109,ProxNewton,0.0001,13,-27.243900754655613,0.029614798997499747
congress109,ProxNewton,5.6234132519e-5,13,-27.243900754655613,0.029791522996674757
congress109,ProxNewton,3.16227766017e-5,13,-27.243900754655613,0.029859161000786116
congress109,ProxNewton,1.77827941004e-5,13,-27.243900754655613,0.030915439001546474
congress109,ProxNewton,1.0e-5,14,-27.243900754731364,0.03294452699992689
congress109,ProxNewton,5.6234132519e-6,14,-27.243900754731364,0.03254563199880067
congress109,ProxNewton,3.1622776602e-6,15,-27.243900754733268,0.036468302001594566
congress109,ProxNewton,1.77827941e-6,15,-27.243900754733268,0.037634688000252936
congress109,ProxNewton,1.0e-6,16,-27.243900754733414,0.040366716999415075
congress109,ProxNewton,5.623413252e-7,16,-27.243900754733414,0.04084958000021288
congress109,ProxNewton,3.16227766e-7,16,-27.243900754733414,0.03964946999985841
congress109,ProxNewton,1.77827941e-7,16,-27.243900754733414,0.039542326998343924
congress109,ProxNewton,1.0e-7,17,-27.243900754733424,0.04306913800246548
congress109,ProxNewton,5.62341325e-8,17,-27.243900754733424,0.04287026200108812
congress109,ProxNewton,3.16227766e-8,17,-27.243900754733424,0.045384978999209125
congress109,ProxNewton,1.77827941e-8,18,-27.243900754733424,0.05716523299997789
congress109,ProxNewton,1.0e-8,18,-27.243900754733424,0.056602738000947284
congress109,ProxNewton,5.6234133e-9,19,-27.243900754733428,0.05865319700023974
