μ0,α,barρ2,empirical,asymptotic,emp_over_asymptotic,H00_over_L0,T_gradient,T_newton
0.5,0.0,0.0019,1.071,3.292,0.325,0.3038,45,42
0.5,0.1,0.012,2.07,3.292,0.629,0.3038,89,43
0.5,0.2,0.0414,3.119,3.292,0.948,0.3038,209,67
0.5,0.3,0.0866,2.953,3.292,0.897,0.3038,254,86
0.5,0.4,0.1431,3.27,3.292,0.993,0.3038,497,152
0.5,0.5,0.2063,3.254,3.292,0.988,0.3038,986,303
0.5,0.6,0.2719,3.253,3.292,0.988,0.3038,1542,474
0.5,0.7,0.3367,3.263,3.292,0.991,0.3038,2196,673
0.5,0.8,0.3985,3.268,3.292,0.993,0.3038,2951,903
0.5,0.9,0.4559,3.261,3.292,0.991,0.3038,3812,1169
0.5,1.0,0.5084,3.255,3.292,0.989,0.3038,4778,1468
0.9,0.0,0.0045,2.689,5.875,0.458,0.1702,121,45
0.9,0.1,0.0147,4.508,5.875,0.767,0.1702,293,65
0.9,0.2,0.0438,5.456,5.875,0.929,0.1702,742,136
0.9,0.3,0.0886,5.679,5.875,0.967,0.1702,1431,252
0.9,0.4,0.1447,5.741,5.875,0.977,0.1702,2325,405
0.9,0.5,0.2074,5.775,5.875,0.983,0.1702,3390,587
0.9,0.6,0.2726,5.781,5.875,0.984,0.1702,4602,796
0.9,0.7,0.337,5.788,5.875,0.985,0.1702,5938,1026
0.9,0.8,0.3984,5.784,5.875,0.984,0.1702,7380,1276
0.9,0.9,0.4556,5.784,5.875,0.985,0.1702,8913,1541
0.9,1.0,0.5079,5.787,5.875,0.985,0.1702,10526,1819
