rho,mu0,alpha,bar_rho2,H00_over_L0,asymptotic_ratio,T_gradient_1e-4,T_newton_1e-4,ratio_1e-4,T_gradient_1e-6,T_newton_1e-6,ratio_1e-6,T_gradient_1e-8,T_newton_1e-8,ratio_1e-8,gradient_loggap_slope,newton_loggap_slope,slope_ratio,newton_late_full_step_fraction
0.2,0.5,0.3,0.08373925170810671,0.21325353787674378,4.689253974196572,1402,297,4.720538720538721,2218,477,4.649895178197065,3041,653,4.656967840735069,-0.005616221854629998,-0.02622888440913276,4.670200908731862,0.9943502824858758
0.2,0.7,0.3,0.08445824478371765,0.1757726495270616,5.689167243542301,1674,293,5.713310580204778,2545,446,5.70627802690583,3421,597,5.730318257956449,-0.005250101691349717,-0.03021318280818252,5.754780494626037,0.9967105263157895
0.2,0.9,0.3,0.0845184907771074,0.11172294649062009,8.950712735489454,2530,280,9.035714285714286,3904,443,8.812641083521445,5290,600,8.816666666666666,-0.003333872406960301,-0.02887063439852021,8.659789840260673,0.9780564263322884
0.2,0.95,0.3,0.0889090496575294,0.05656265918106688,17.679508256477593,4607,261,17.65134099616858,7123,400,17.8075,9642,561,17.18716577540107,-0.0018292953244924564,-0.030942281441301657,16.914863897051006,0.9130434782608695
0.6,0.5,0.0,0.0018666782079014793,0.3037573609005859,3.2921012910935885,70,70,1.0,115,110,1.0454545454545454,160,155,1.032258064516129,-0.10326396596014344,-0.10325314594322328,0.9998952198202001,1.0
0.6,0.5,0.1,0.012043770279081394,0.30375736090113264,3.292101291087663,141,70,2.0142857142857142,224,112,2.0,305,159,1.9182389937106918,-0.05630554079834133,-0.10165989421802872,1.8055042679036564,1.0
0.6,0.5,0.2,0.041371294189143946,0.30375736079930765,3.2921012921912354,370,117,3.1623931623931623,604,187,3.229946524064171,843,258,3.2674418604651163,-0.019356973090236252,-0.0639530514015158,3.3038766496903396,1.0
0.6,0.5,0.3,0.08656498498097336,0.30375736069905396,3.2921012932777782,590,189,3.121693121693122,1095,339,3.230088495575221,1602,494,3.242914979757085,-0.009151635890898749,-0.030306024845251345,3.311541805918057,1.0
0.6,0.9,0.0,0.004494704731807129,0.17021569270891607,5.874898983080771,148,73,2.0273972602739727,258,127,2.031496062992126,364,179,2.0335195530726256,-0.04342707460035742,-0.08716444553151102,2.007145227571779,1.0
0.6,0.9,0.1,0.01467591034276757,0.17021569311298887,5.874898969134425,429,94,4.5638297872340425,658,157,4.191082802547771,895,213,4.2018779342723,-0.01971880028621873,-0.07652733631647099,3.8809326736756478,1.0
0.6,0.9,0.2,0.04379586839414075,0.17021569306718665,5.874898970715264,1116,198,5.636363636363637,1730,307,5.635179153094462,2328,419,5.556085918854415,-0.007611409490031082,-0.04259224176126456,5.595841587165826,1.0
0.6,0.9,0.3,0.08861977833036079,0.17021569292648195,5.874898975571607,2218,377,5.883289124668435,3441,589,5.842105263157895,4661,812,5.740147783251231,-0.0037640404154075154,-0.02166739608803394,5.756419617425418,1.0
