mu0,reg,strategy,n_iter
0.5,0.5,gradient,168.33333333333334
0.5,0.2,gradient,223.0
0.5,0.1,gradient,318.3333333333333
0.5,0.05,gradient,557.3333333333334
0.5,0.02,gradient,1757.0
0.5,0.01,gradient,821.3333333333334
0.7,0.5,gradient,191.33333333333334
0.7,0.2,gradient,339.6666666666667
0.7,0.1,gradient,519.6666666666666
0.7,0.05,gradient,1041.0
0.7,0.02,gradient,3063.0
0.7,0.01,gradient,5000.0
0.9,0.5,gradient,289.6666666666667
0.9,0.2,gradient,483.0
0.9,0.1,gradient,865.3333333333334
0.9,0.05,gradient,1883.6666666666667
0.9,0.02,gradient,5000.0
0.9,0.01,gradient,5000.0
0.95,0.5,gradient,300.3333333333333
0.95,0.2,gradient,729.3333333333334
0.95,0.1,gradient,1415.3333333333333
0.95,0.05,gradient,3142.6666666666665
0.95,0.02,gradient,3785.0
0.95,0.01,gradient,4328.0
0.99,0.5,gradient,829.3333333333334
0.99,0.2,gradient,1950.0
0.99,0.1,gradient,4219.333333333333
0.99,0.05,gradient,2705.6666666666665
0.99,0.02,gradient,5000.0
0.99,0.01,gradient,5000.0
0.5,0.5,newton,5.666666666666667
0.5,0.2,newton,5.333333333333333
0.5,0.1,newton,9.0
0.5,0.05,newton,12.0
0.5,0.02,newton,14.666666666666666
0.5,0.01,newton,16.0
0.7,0.5,newton,2.0
0.7,0.2,newton,5.0
0.7,0.1,newton,9.0
0.7,0.05,newton,12.333333333333334
0.7,0.02,newton,14.666666666666666
0.7,0.01,newton,16.333333333333332
0.9,0.5,newton,3.3333333333333335
0.9,0.2,newton,5.333333333333333
0.9,0.1,newton,9.666666666666666
0.9,0.05,newton,12.333333333333334
0.9,0.02,newton,14.333333333333334
0.9,0.01,newton,17.333333333333332
0.95,0.5,newton,3.6666666666666665
0.95,0.2,newton,6.333333333333333
0.95,0.1,newton,10.0
0.95,0.05,newton,13.666666666666666
0.95,0.02,newton,14.333333333333334
0.95,0.01,newton,15.333333333333334
0.99,0.5,newton,5.666666666666667
0.99,0.2,newton,9.333333333333334
0.99,0.1,newton,12.666666666666666
0.99,0.05,newton,13.333333333333334
0.99,0.02,newton,12.333333333333334
0.99,0.01,newton,12.0
