p_K,amplitude,strategy,pass,relgaps,p_K_str,amp_str
0.05,0.5,gradient,1,2.25082732688127,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,2,0.9056169324590498,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,3,0.42203457541574324,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,4,0.2305558589815799,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,5,0.14587432106076467,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,6,0.10106257385389504,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,7,0.07483648909104021,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,8,0.058031488090178114,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,9,0.04660196748541075,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,10,0.03852099246247632,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,11,0.032589144896731606,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,12,0.028109986953053775,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,13,0.024643008250541686,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,14,0.021894997261474453,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,15,0.01968706380152077,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,16,0.017883684879496573,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,17,0.016382038492941894,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,18,0.015114910123772658,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,19,0.014035787059616053,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,20,0.013104154997531512,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,21,0.01229372890204166,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,22,0.011581031236922385,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,23,0.010949910935761037,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,24,0.010385449650752783,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,25,0.009875391916112973,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,26,0.009412132273158002,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,27,0.008987893884481698,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,28,0.008597543478382942,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,29,0.008236393682655576,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,30,0.007900787218078523,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,31,0.0075879108692262194,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,32,0.007295015801862091,$\bar{p}_K = 0.05$,amp = 0.5
