problem,thresh,npasses,primal,final_lambda,runtime,jerr
congress109,0.1,50,-27.2207496777434,1.05439771617621,0.013,0
congress109,0.0316227766016838,50,-27.2207496777434,1.05439771617621,0.011,0
congress109,0.01,50,-27.2207496777434,1.05439771617621,0.00900000000000001,0
congress109,0.00316227766016838,53,-27.2207492651824,1.05439771617621,0.01,0
congress109,0.001,68,-27.2207433930439,1.05439771617621,0.013,0
congress109,0.000316227766016838,98,-27.220829721143,1.05439771617621,0.00800000000000001,0
congress109,0.0001,158,-27.222029045162,1.05439771617621,0.0099999999999999,0
congress109,3.16227766016838e-5,231,-27.2378170593608,1.05439771617621,0.01,0
congress109,1.0e-5,338,-27.2420529505529,1.05439771617621,0.014,0
congress109,3.16227766016838e-6,496,-27.2435469766025,1.05439771617621,0.012,0
congress109,1.0e-6,679,-27.2437573051029,1.05439771617621,0.0129999999999999,0
congress109,3.16227766016838e-7,948,-27.2438512850281,1.05439771617621,0.0150000000000001,0
congress109,1.0e-7,1324,-27.2438801590131,1.05439771617621,0.02,0
congress109,3.16227766016838e-8,1857,-27.2438943771386,1.05439771617621,0.022,0
congress109,1.0e-8,2458,-27.243902312854,1.05439771617621,0.026,0
congress109,3.16227766016838e-9,3019,-27.2439043389011,1.05439771617621,0.032,0
congress109,1.0e-9,3671,-27.2439047419058,1.05439771617621,0.036,0
congress109,3.16227766016838e-10,4568,-27.2439049523046,1.05439771617621,0.04,0
congress109,1.0e-10,5566,-27.2439050306918,1.05439771617621,0.048,0
congress109,3.16227766016838e-11,6416,-27.2439050385728,1.05439771617621,0.0549999999999999,0
congress109,1.0e-11,7535,-27.2439050407564,1.05439771617621,0.0649999999999999,0
congress109,3.16227766016838e-12,8944,-27.2439050435801,1.05439771617621,0.0730000000000002,0
congress109,1.0e-12,10127,-27.2439050442386,1.05439771617621,0.0839999999999999,0
congress109,3.16227766016838e-13,11441,-27.2439050444827,1.05439771617621,0.093,0
congress109,1.0e-13,12941,-27.243905044528,1.05439771617621,0.106,0
