commit,cell_id,cell_name,mu0,reg,seed,n,p,lambda_,n_iter,stop_crit,primal,runtime,converged,intercept,strategy
b03644fe,1,cell_001,0.5,0.5,1,500,1000,0.07917128683754507,143,9.888339401631364e-9,0.662365906180674,4.852816171999621,true,-0.0093499103273612,gradient
b03644fe,2,cell_002,0.5,0.2,1,500,1000,0.03166851473501803,211,9.807934189254297e-9,0.5320171780440339,0.9601149620002616,true,-0.017678780091707542,gradient
b03644fe,3,cell_003,0.5,0.1,1,500,1000,0.015834257367509014,307,9.700861822059536e-9,0.4131833334997512,1.9602869780001129,true,-0.012647670010765588,gradient
b03644fe,4,cell_004,0.5,0.05,1,500,1000,0.007917128683754507,373,9.945016295087594e-9,0.29015597185823544,2.820539856000323,true,-0.006179890826734256,gradient
b03644fe,5,cell_005,0.5,0.02,1,500,1000,0.003166851473501803,1684,9.96849285722634e-9,0.1613378859233491,13.450324634000026,true,-0.01552392530156991,gradient
b03644fe,6,cell_006,0.5,0.01,1,500,1000,0.0015834257367509015,15,4.4676240239845816e-9,0.09766442243543864,1.2370102300001236,true,-0.01940675917471868,gradient
b03644fe,7,cell_007,0.7,0.5,1,500,1000,0.06860904574424775,167,9.890395715472789e-9,0.6388472796990623,0.5830127980007092,true,0.32324488758082714,gradient
b03644fe,8,cell_008,0.7,0.2,1,500,1000,0.027443618297699104,341,9.81251014364748e-9,0.5014150715477765,1.178062874000716,true,0.42102167221699444,gradient
b03644fe,9,cell_009,0.7,0.1,1,500,1000,0.013721809148849552,528,9.768059253345562e-9,0.3792678872234727,3.3905200230001356,true,0.5586347176399953,gradient
b03644fe,10,cell_010,0.7,0.05,1,500,1000,0.006860904574424776,1076,9.986805444173186e-9,0.25866010669991135,7.5958509869997215,true,0.7374392182782517,gradient
b03644fe,11,cell_011,0.7,0.02,1,500,1000,0.00274436182976991,3086,9.988849032110947e-9,0.14031850863686932,23.106470781000098,true,0.9959882605374478,gradient
b03644fe,12,cell_012,0.7,0.01,1,500,1000,0.001372180914884955,5000,4.5210854364906986e-7,0.08405972880033899,39.991705456999625,false,1.1838351914682574,gradient
b03644fe,13,cell_013,0.9,0.5,1,500,1000,0.06306968535257798,321,9.874179502877833e-9,0.5712091408342859,1.4309295460006979,true,0.9524316465753929,gradient
b03644fe,14,cell_014,0.9,0.2,1,500,1000,0.025227874141031194,514,9.751131618579434e-9,0.4438472637125911,2.649358495999877,true,1.2703079059544653,gradient
b03644fe,15,cell_015,0.9,0.1,1,500,1000,0.012613937070515597,891,9.974036949300657e-9,0.33125964661648233,5.344321143999878,true,1.668224416023378,gradient
b03644fe,16,cell_016,0.9,0.05,1,500,1000,0.006306968535257799,1985,9.942959556613618e-9,0.22476839487665595,13.814564625999992,true,2.1900828249509527,gradient
b03644fe,17,cell_017,0.9,0.02,1,500,1000,0.0025227874141031193,5000,1.0481625251199459e-7,0.1214152480359991,37.943469528000605,false,2.958359080904683,gradient
b03644fe,18,cell_018,0.9,0.01,1,500,1000,0.0012613937070515596,5000,1.459371078713635e-5,0.07256773698630022,39.70446416699997,false,3.519429165689519,gradient
b03644fe,19,cell_019,0.95,0.5,1,500,1000,0.05722651426800462,261,9.940241802147698e-9,0.5007139617009333,1.1890195609994407,true,1.347798427801735,gradient
b03644fe,20,cell_020,0.95,0.2,1,500,1000,0.022890605707201847,703,9.94641819859754e-9,0.39000748845349176,3.6691087110002627,true,1.7766650587151005,gradient
b03644fe,21,cell_021,0.95,0.1,1,500,1000,0.011445302853600924,1374,9.996105262782828e-9,0.28948441392166024,8.943556843999431,true,2.263218784532946,gradient
b03644fe,22,cell_022,0.95,0.05,1,500,1000,0.005722651426800462,3029,9.988633451696317e-9,0.19434768526366208,21.665355166000154,true,2.8744442425080834,gradient
b03644fe,23,cell_023,0.95,0.02,1,500,1000,0.002289060570720185,1355,9.99991142093537e-9,0.10358717772410884,11.31476392500008,true,3.758246824869841,gradient
b03644fe,24,cell_024,0.95,0.01,1,500,1000,0.0011445302853600925,2984,9.996246521717933e-9,0.061475504363275424,34.827031554000314,true,4.452075412267626,gradient
b03644fe,25,cell_025,0.99,0.5,1,500,1000,0.03890253233698592,785,9.854185516536273e-9,0.32443653759001073,3.398597690000315,true,2.2707629035006405,gradient
b03644fe,26,cell_026,0.99,0.2,1,500,1000,0.01556101293479437,1734,9.940749438608343e-9,0.24129586692935925,8.70228145299916,true,2.9938996587344624,gradient
b03644fe,27,cell_027,0.99,0.1,1,500,1000,0.007780506467397185,3793,9.983542824068547e-9,0.1687959780954943,15.008463510000183,true,3.836348042917054,gradient
b03644fe,28,cell_028,0.99,0.05,1,500,1000,0.0038902532336985924,5000,2.170612506338536e-6,0.10820259140242738,21.303452971999832,false,4.771189947114368,gradient
b03644fe,29,cell_029,0.99,0.02,1,500,1000,0.001556101293479437,5000,6.500349598578795e-5,0.05566319305838589,43.1398239909995,false,5.8880358467888785,gradient
b03644fe,30,cell_030,0.99,0.01,1,500,1000,0.0007780506467397185,5000,3.996308861791038e-8,0.032475559946536,53.387339094999334,false,7.021265741560637,gradient
b03644fe,31,cell_031,0.5,0.5,2,500,1000,0.07663724828540176,200,9.525968935442109e-9,0.660935285481832,0.968346023999402,true,-0.1122731449019218,gradient
b03644fe,32,cell_032,0.5,0.2,2,500,1000,0.030654899314160707,244,9.765928521698886e-9,0.5342035121858242,1.1851010050004334,true,-0.1476395456470493,gradient
b03644fe,33,cell_033,0.5,0.1,2,500,1000,0.015327449657080354,375,9.9012399370213e-9,0.41217658213901,2.618752654000673,true,-0.19307033503840848,gradient
b03644fe,34,cell_034,0.5,0.05,2,500,1000,0.007663724828540177,704,9.879957019426344e-9,0.2868670102058248,5.760491998999896,true,-0.25385318700463144,gradient
b03644fe,35,cell_035,0.5,0.02,2,500,1000,0.0030654899314160704,1633,9.951566398561096e-9,0.15781798748759496,14.499354511999627,true,-0.32996552098398063,gradient
b03644fe,36,cell_036,0.5,0.01,2,500,1000,0.0015327449657080352,2431,9.991978222437942e-9,0.09512564638712723,23.503195121999852,true,-0.387950725429151,gradient
b03644fe,37,cell_037,0.7,0.5,2,500,1000,0.07280085925900914,209,9.729841571048947e-9,0.6417494283009302,1.0424308460005705,true,0.2966014586799506,gradient
b03644fe,38,cell_038,0.7,0.2,2,500,1000,0.029120343703603658,307,9.933650789606396e-9,0.5096964677654594,1.672246377999727,true,0.391395341122223,gradient
b03644fe,39,cell_039,0.7,0.1,2,500,1000,0.014560171851801829,475,9.779516686014844e-9,0.3923875082897641,3.3039619479995963,true,0.48027002584623085,gradient
b03644fe,40,cell_040,0.7,0.05,2,500,1000,0.0072800859259009145,946,9.976788129473224e-9,0.2713914433123598,7.621490327999709,true,0.6199143485893681,gradient
b03644fe,41,cell_041,0.7,0.02,2,500,1000,0.0029120343703603656,2959,9.974416292739263e-9,0.14852625022633867,26.752461226000378,true,0.8380129548612913,gradient
b03644fe,42,cell_042,0.7,0.01,2,500,1000,0.0014560171851801828,5000,1.6668425252849493e-7,0.08924783075766617,44.87925737399928,false,1.0020915022582482,gradient
b03644fe,43,cell_043,0.9,0.5,2,500,1000,0.06475712425759585,269,9.586109452966452e-9,0.5715109399710785,1.363883746999818,true,0.9654412145097387,gradient
b03644fe,44,cell_044,0.9,0.2,2,500,1000,0.02590284970303834,478,9.989016999237266e-9,0.4570865560895937,2.6925699570001598,true,1.258627725262273,gradient
