family,q,shift,μ0,m,a,kappa,kappa_closed_form,kappa_orthogonal,closed_form_error,orthogonal_error
binary,0.02,NaN,0.5,0.14285714285714288,243,0.9403021010635784,0.9388326989987423,0.8321917808219178,0.001469402064836034,0.10811032024166056
binary,0.02,NaN,0.9,0.14285714285714288,276,0.9597606219154716,0.9571521346130385,0.8492307692307692,0.0026084873024331268,0.11052985268470239
binary,0.05,NaN,0.5,0.22941573387056177,176,0.9493170009886364,0.9505081012395619,0.9025641025641026,0.001191100250925503,0.046752898424533784
binary,0.05,NaN,0.9,0.22941573387056177,268,0.9779746586068404,0.9773414396441431,0.9337979094076655,0.0006332189626973017,0.044176749199174914
binary,0.1,NaN,0.5,0.33333333333333337,191,0.9819860443282079,0.9821075526145373,0.955,0.00012150828632939703,0.026986044328207948
binary,0.1,NaN,0.9,0.33333333333333337,199,0.978503751522136,0.9791770957974564,0.9567307692307693,0.0006733442753203978,0.021772982291366705
binary,0.3,NaN,0.5,0.6546536707079772,208,0.9957985873410352,0.9957833215299772,0.9889064976228209,1.526581105804059e-5,0.0068920897182143115
binary,0.3,NaN,0.9,0.6546536707079772,191,0.994407888164686,0.9944307093808804,0.9879310344827587,2.2821216194457428e-5,0.006476853681927297
gaussian,NaN,0.25,0.9,0.25,183,0.9627703604515525,0.9612001104885991,0.9195979899497487,0.0015702499629534072,0.04317237050180378
gaussian,NaN,0.5,0.9,0.5,183,0.9902387401714688,0.9900092990524572,0.9786096256684492,0.0002294411190116863,0.011629114503019622
gaussian,NaN,1.0,0.9,1.0,183,0.9975643488499046,0.997483468326583,0.9945652173913043,8.088052332166917e-5,0.0029991314586003126
gaussian,NaN,2.0,0.9,2.0,183,0.9993956302540364,0.9993696774115752,0.9986357435197817,2.595284246120766e-5,0.0007598867342547555
