family,coherence,density,shift,mean_over_sd,μ0,centered,mean_y,H00_over_L0,barρ2,kappa,n_active,intercept_share,T_gradient,T_newton,empirical_ratio,asymptotic_ratio,gradient_reached_tol,newton_reached_tol,beta_discrepancy,lambdamax_discrepancy
binary,positive,0.02,NaN,0.14285714285714288,0.5,false,0.32,0.2662968006696552,0.021374398189561817,0.9403021010635784,243,1.1975873140614333,342,95,3.6,3.755208464710447,true,true,1.4009349236232538e-12,1.1883285368691174e-16
binary,positive,0.02,NaN,0.14285714285714288,0.5,true,0.32,0.26629680066954237,0.0014326162905855323,0.36547106254055,243,0.45183617465362913,39,34,1.1470588235294117,3.7552084647120383,true,true,1.4009349236232538e-12,1.1883285368691174e-16
binary,positive,0.05,NaN,0.22941573387056177,0.5,false,0.394,0.2625438746592318,0.05190544676586353,0.9493170009886364,176,0.792335158014992,390,102,3.823529411764706,3.808887186181539,true,true,1.4807044479425713e-12,1.7643464473460743e-15
binary,positive,0.05,NaN,0.22941573387056177,0.5,true,0.394,0.26254387465915036,0.0015511834990608413,0.35573558712118475,176,0.1888204361233412,26,28,0.9285714285714286,3.8088871861827207,true,true,1.4807044479425713e-12,1.7643464473460743e-15
binary,positive,0.1,NaN,0.33333333333333337,0.5,false,0.444,0.30351722308689877,0.10153931223776144,0.9819860443282079,191,1.201412033402695,969,296,3.2736486486486487,3.294705947259191,true,true,1.6471685126973057e-12,6.041708897556072e-16
binary,positive,0.1,NaN,0.33333333333333337,0.5,true,0.444,0.30351722308676315,0.001330293481733616,0.28981741720497245,191,0.08930173270119666,32,32,1.0,3.294705947260663,true,true,1.6471685126973057e-12,6.041708897556072e-16
binary,positive,0.3,NaN,0.6546536707079772,0.5,false,0.478,0.2802084963022097,0.3001535575748849,0.9957985873410352,208,1.2709714193961352,3787,1065,3.555868544600939,3.5687711586071353,true,true,1.8075263508166017e-12,2.0121163167042684e-15
binary,positive,0.3,NaN,0.6546536707079772,0.5,true,0.478,0.28020849630215383,0.001324645924212581,0.2876445558685771,208,0.06098831518856679,31,31,1.0,3.5687711586078463,true,true,1.8075263508166017e-12,2.0121163167042684e-15
binary,positive,0.02,NaN,0.14285714285714288,0.9,false,0.756,0.1884857716079338,0.02145086288207709,0.9597606219154716,276,1.212538596149561,729,146,4.993150684931507,5.305440254026621,true,true,2.3186036424149847e-12,0.0
binary,positive,0.02,NaN,0.14285714285714288,0.9,true,0.756,0.18848577160788185,0.0017370763017656007,0.5079605758594854,276,0.8680757700658858,77,61,1.2622950819672132,5.305440254028084,true,true,2.3186036424149847e-12,0.0
