"problem","alg","eps","npasses","primal","final_lambda","runtime"
"synthetic","Newton",0.1,93,0.117230562979202,0.00374562643338917,0.117
"synthetic","Newton",0.0316227766016838,93,0.117230562979202,0.00374562643338917,0.103
"synthetic","Newton",0.01,93,0.117230562979202,0.00374562643338917,0.0970000000000002
"synthetic","Newton",0.00316227766016838,93,0.117230562979202,0.00374562643338917,0.103
"synthetic","Newton",0.001,93,0.117230562979202,0.00374562643338917,0.0999999999999999
"synthetic","Newton",0.000316227766016838,100,0.117230562979202,0.00374562643338917,0.102
"synthetic","Newton",1e-04,109,0.117230562979202,0.00374562643338917,0.0989999999999998
"synthetic","Newton",3.16227766016838e-05,137,0.117230563602012,0.00374562643338917,0.101
"synthetic","Newton",1e-05,185,0.117224208825928,0.00374562643338917,0.107
"synthetic","Newton",3.16227766016838e-06,247,0.117179662414595,0.00374562643338917,0.118
"synthetic","Newton",1e-06,294,0.117173191287308,0.00374562643338917,0.132
"synthetic","Newton",3.16227766016838e-07,348,0.117170894335456,0.00374562643338917,0.143
"synthetic","Newton",1e-07,414,0.117170211615494,0.00374562643338917,0.15
"synthetic","Newton",3.16227766016838e-08,495,0.117169966314154,0.00374562643338917,0.164
"synthetic","Newton",1e-08,579,0.11716986670189,0.00374562643338917,0.18
"synthetic","Newton",3.16227766016838e-09,679,0.117169792931637,0.00374562643338917,0.196
"synthetic","Newton",1e-09,775,0.117169791237272,0.00374562643338917,0.238
"synthetic","Newton",3.16227766016838e-10,888,0.117169788200434,0.00374562643338917,0.24
"synthetic","Newton",1e-10,1006,0.117169787553755,0.00374562643338917,0.253
"synthetic","Newton",3.16227766016838e-11,1131,0.117169787289175,0.00374562643338917,0.278
"synthetic","Newton",1e-11,1258,0.117169787219393,0.00374562643338917,0.311
"synthetic","Newton",3.16227766016838e-12,1389,0.117169787199468,0.00374562643338917,0.327
"synthetic","Newton",1e-12,1522,0.117169787198924,0.00374562643338917,0.492
"synthetic","Newton",3.16227766016838e-13,1656,0.117169787200967,0.00374562643338917,0.393
"synthetic","Newton",1e-13,1789,0.117169787202851,0.00374562643338917,0.414
"synthetic","MM",0.1,95,0.120030658955965,0.00374562643338917,0.0999999999999996
"synthetic","MM",0.0316227766016838,95,0.120030658955965,0.00374562643338917,0.0999999999999996
"synthetic","MM",0.01,95,0.120030658955965,0.00374562643338917,0.105
"synthetic","MM",0.00316227766016838,95,0.120030658955965,0.00374562643338917,0.106
"synthetic","MM",0.001,95,0.120030658955965,0.00374562643338917,0.101999999999999
"synthetic","MM",0.000316227766016838,99,0.12003065086558,0.00374562643338917,0.104
"synthetic","MM",1e-04,111,0.120030471687974,0.00374562643338917,0.105
"synthetic","MM",3.16227766016838e-05,142,0.119900224570007,0.00374562643338917,0.107
"synthetic","MM",1e-05,209,0.118635246452822,0.00374562643338917,0.111
"synthetic","MM",3.16227766016838e-06,340,0.117734059074747,0.00374562643338917,0.167
"synthetic","MM",1e-06,561,0.117359396261613,0.00374562643338917,0.221
"synthetic","MM",3.16227766016838e-07,855,0.117226504991846,0.00374562643338917,0.291
"synthetic","MM",1e-07,1225,0.117186154345995,0.00374562643338917,0.256
"synthetic","MM",3.16227766016838e-08,1655,0.117175207400928,0.00374562643338917,0.317
"synthetic","MM",1e-08,2167,0.117171593220617,0.00374562643338917,0.376999999999999
"synthetic","MM",3.16227766016838e-09,2764,0.117170432612791,0.00374562643338917,0.453000000000001
"synthetic","MM",1e-09,3448,0.117170029491282,0.00374562643338917,0.554
"synthetic","MM",3.16227766016838e-10,4166,0.117169879906124,0.00374562643338917,0.671000000000001
"synthetic","MM",1e-10,4943,0.117169815780108,0.00374562643338917,0.808999999999999
"synthetic","MM",3.16227766016838e-11,5772,0.117169796954933,0.00374562643338917,0.904
"synthetic","MM",1e-11,6631,0.117169790904279,0.00374562643338917,1.089
"synthetic","MM",3.16227766016838e-12,7534,0.117169788734526,0.00374562643338917,1.179
"synthetic","MM",1e-12,8476,0.117169787819596,0.00374562643338917,1.349
"synthetic","MM",3.16227766016838e-13,9461,0.11716978745031,0.00374562643338917,1.48
"synthetic","MM",1e-13,10490,0.117169787305712,0.00374562643338917,1.618
