"problem","solver","alg","max_iter","beta0","primal","l1_beta","npasses","runtime","status"
"w1a","biglasso","Newton",10,-291.494342905132,230.633320886456,14342.6475461006,10,0.148,"OK"
"w1a","biglasso","Newton",100,-1126.84714519378,24.9338702574485,6632.4957788544,100,0.268,"OK"
"w1a","biglasso","Newton",1000,-1722.16725267633,38.3998156276096,9998.10894914714,1000,1.45,"OK"
"w1a","biglasso","Newton",10000,-771.199612645425,29.798908174498,5168.91428928053,10000,13.467,"OK"
"w1a","biglasso","Newton",1e+05,-723.324143710102,16.1870118238376,4029.95997722523,100000,132.301,"OK"
"w1a","biglasso","MM",10,-3.5086390635238,0.0877685763981121,2.60163777305119,2,0.123000000000019,"OK"
"w1a","biglasso","MM",100,-3.5086390635238,0.0877685763981121,2.60163777305119,2,0.123000000000019,"OK"
"w1a","biglasso","MM",1000,-3.5086390635238,0.0877685763981121,2.60163777305119,2,0.121999999999986,"OK"
"w1a","biglasso","MM",10000,-3.5086390635238,0.0877685763981121,2.60163777305119,2,0.12299999999999,"OK"
"w1a","biglasso","MM",1e+05,-3.5086390635238,0.0877685763981121,2.60163777305119,2,0.122000000000014,"OK"
"w1a","adelie","default",10,NA,NA,NA,NA,76.926,"EMPTY"
"w1a","adelie","default",100,NA,NA,NA,NA,77.027,"EMPTY"
"w1a","adelie","default",1000,NA,NA,NA,NA,76.861,"EMPTY"
"w1a","adelie","default",10000,NA,NA,NA,NA,76.877,"EMPTY"
"w1a","adelie","default",1e+05,NA,NA,NA,NA,76.665,"EMPTY"
"news20-3pct","biglasso","Newton",10,-3.47609868983529,0.309599879799901,85.2816336913693,2,0.172000000000025,"OK"
"news20-3pct","biglasso","Newton",100,-3.47609868983529,0.309599879799901,85.2816336913693,2,0.171000000000049,"OK"
"news20-3pct","biglasso","Newton",1000,-3.47609868983529,0.309599879799901,85.2816336913693,2,0.173999999999978,"OK"
"news20-3pct","biglasso","Newton",10000,-3.47609868983529,0.309599879799901,85.2816336913693,2,0.171000000000049,"OK"
"news20-3pct","biglasso","Newton",1e+05,-3.47609868983529,0.309599879799901,85.2816336913693,2,0.171999999999912,"OK"
"news20-3pct","biglasso","MM",10,-3.47609868983528,0.0892411926725317,9.92678216167527,2,0.166000000000054,"OK"
"news20-3pct","biglasso","MM",100,-3.47609868983528,0.0892411926725317,9.92678216167527,2,0.168999999999983,"OK"
"news20-3pct","biglasso","MM",1000,-3.47609868983528,0.0892411926725317,9.92678216167527,2,0.164999999999964,"OK"
"news20-3pct","biglasso","MM",10000,-3.47609868983528,0.0892411926725317,9.92678216167527,2,0.167999999999893,"OK"
"news20-3pct","biglasso","MM",1e+05,-3.47609868983528,0.0892411926725317,9.92678216167527,2,0.166999999999916,"OK"
"news20-3pct","adelie","default",10,-5.21900771251993,0.051664335317979,14.210782559539,NA,0.11099999999999,"OK"
"news20-3pct","adelie","default",100,-5.21900771251993,0.051664335317979,14.210782559539,NA,0.1099999999999,"OK"
"news20-3pct","adelie","default",1000,-5.21900771251993,0.051664335317979,14.210782559539,NA,0.11099999999999,"OK"
"news20-3pct","adelie","default",10000,-5.21900771251993,0.051664335317979,14.210782559539,NA,0.110000000000014,"OK"
"news20-3pct","adelie","default",1e+05,-5.21900771251993,0.051664335317979,14.210782559539,NA,0.113000000000056,"OK"
