"problem","alg","eps","npasses","primal","final_lambda","runtime"
"news20-3pct","Newton",0.1,89,0.0497698392168635,0.00228639068886416,0.447000000000003
"news20-3pct","Newton",0.0316227766016838,89,0.0497698392168635,0.00228639068886416,0.452000000000012
"news20-3pct","Newton",0.01,89,0.0497698392168635,0.00228639068886416,0.440999999999988
"news20-3pct","Newton",0.00316227766016838,89,0.0497698392168635,0.00228639068886416,0.498000000000005
"news20-3pct","Newton",0.001,90,0.0497698392168635,0.00228639068886416,0.478999999999999
"news20-3pct","Newton",0.000316227766016838,101,0.0497698392168636,0.00228639068886416,0.501000000000005
"news20-3pct","Newton",1e-04,124,0.0497698389853919,0.00228639068886416,0.47399999999999
"news20-3pct","Newton",3.16227766016838e-05,153,0.0497698568313876,0.00228639068886416,0.491
"news20-3pct","Newton",1e-05,190,0.0497631941299738,0.00228639068886416,0.48899999999999
"news20-3pct","Newton",3.16227766016838e-06,241,0.0497442054219524,0.00228639068886416,0.516000000000005
"news20-3pct","Newton",1e-06,301,0.0497418445316476,0.00228639068886416,0.581000000000003
"news20-3pct","Newton",3.16227766016838e-07,369,0.0497401620519823,0.00228639068886416,0.606999999999999
"news20-3pct","Newton",1e-07,449,0.0497394106795407,0.00228639068886416,0.701000000000008
"news20-3pct","Newton",3.16227766016838e-08,554,0.0497392412840219,0.00228639068886416,0.790000000000006
"news20-3pct","Newton",1e-08,678,0.049739212195276,0.00228639068886416,1.128
"news20-3pct","Newton",3.16227766016838e-09,793,0.0497392096933705,0.00228639068886416,1
"news20-3pct","Newton",1e-09,918,0.0497392072697749,0.00228639068886416,1.036
"news20-3pct","Newton",3.16227766016838e-10,1050,0.0497392062652544,0.00228639068886416,1.12299999999999
"news20-3pct","Newton",1e-10,1216,0.0497392057832187,0.00228639068886416,1.21899999999999
"news20-3pct","Newton",3.16227766016838e-11,1373,0.049739205645556,0.00228639068886416,1.738
"news20-3pct","Newton",1e-11,1575,0.0497392055921166,0.00228639068886416,1.60199999999999
"news20-3pct","Newton",3.16227766016838e-12,1752,0.0497392055722649,0.00228639068886416,1.574
"news20-3pct","Newton",1e-12,1911,0.0497392055699236,0.00228639068886416,1.68300000000001
"news20-3pct","Newton",3.16227766016838e-13,2066,0.0497392055692399,0.00228639068886416,1.76100000000001
"news20-3pct","Newton",1e-13,2231,0.0497392055688139,0.00228639068886416,1.88
"news20-3pct","MM",0.1,90,0.0522438357951362,0.00228639068886416,0.444000000000003
"news20-3pct","MM",0.0316227766016838,90,0.0522438357951362,0.00228639068886416,0.439000000000007
"news20-3pct","MM",0.01,90,0.0522438357951362,0.00228639068886416,0.440999999999988
"news20-3pct","MM",0.00316227766016838,90,0.0522438357951362,0.00228639068886416,0.448000000000008
"news20-3pct","MM",0.001,93,0.0522436824996799,0.00228639068886416,0.436000000000007
"news20-3pct","MM",0.000316227766016838,101,0.0522434338328999,0.00228639068886416,0.438999999999993
"news20-3pct","MM",1e-04,125,0.0522231058368921,0.00228639068886416,0.439999999999998
"news20-3pct","MM",3.16227766016838e-05,191,0.0518663839524209,0.00228639068886416,0.454000000000008
"news20-3pct","MM",1e-05,294,0.051085448830015,0.00228639068886416,0.477999999999994
"news20-3pct","MM",3.16227766016838e-06,446,0.0506027992734594,0.00228639068886416,0.515000000000001
"news20-3pct","MM",1e-06,664,0.0502017113223512,0.00228639068886416,0.584999999999994
"news20-3pct","MM",3.16227766016838e-07,975,0.0499360998014374,0.00228639068886416,0.703000000000003
"news20-3pct","MM",1e-07,1428,0.0498211349025558,0.00228639068886416,0.891000000000005
"news20-3pct","MM",3.16227766016838e-08,2060,0.0497666543391914,0.00228639068886416,1.15599999999999
"news20-3pct","MM",1e-08,3065,0.0497452013594707,0.00228639068886416,1.681
"news20-3pct","MM",3.16227766016838e-09,4423,0.0497394632008983,0.00228639068886416,2.429
"news20-3pct","MM",1e-09,5871,0.0497392534156087,0.00228639068886416,3.23099999999999
"news20-3pct","MM",3.16227766016838e-10,7271,0.0497392129355811,0.00228639068886416,4.051
"news20-3pct","MM",1e-10,8673,0.0497392071425014,0.00228639068886416,4.949
"news20-3pct","MM",3.16227766016838e-11,10085,0.049739206017376,0.00228639068886416,5.68000000000001
"news20-3pct","MM",1e-11,11550,0.0497392057217836,0.00228639068886416,6.58700000000002
"news20-3pct","MM",3.16227766016838e-12,13041,0.0497392056266122,0.00228639068886416,7.221
"news20-3pct","MM",1e-12,14547,0.0497392055916927,0.00228639068886416,8.36800000000002
"news20-3pct","MM",3.16227766016838e-13,16106,0.0497392055778393,0.00228639068886416,9.44400000000002
"news20-3pct","MM",1e-13,17683,0.0497392055711684,0.00228639068886416,10.299
