"problem","type","thresh","npasses","primal","final_lambda","runtime","jerr"
"news20-3pct","Newton",0.1,50,0.0498542158597898,0.00228639068886428,0.303999999999998,0
"news20-3pct","Newton",0.0316227766016838,50,0.0498542158597898,0.00228639068886428,0.550999999999998,0
"news20-3pct","Newton",0.01,50,0.0498542158597898,0.00228639068886428,0.630000000000003,0
"news20-3pct","Newton",0.00316227766016838,50,0.0498542158597898,0.00228639068886428,0.532,0
"news20-3pct","Newton",0.001,53,0.0498542158597898,0.00228639068886428,0.587,0
"news20-3pct","Newton",0.000316227766016838,122,0.0497844319863007,0.00228639068886428,0.686,0
"news20-3pct","Newton",1e-04,200,0.0497432238827579,0.00228639068886428,0.569999999999997,0
"news20-3pct","Newton",3.16227766016838e-05,222,0.0497431886571291,0.00228639068886428,0.613,0
"news20-3pct","Newton",1e-05,284,0.0497399200194278,0.00228639068886428,0.648000000000003,0
"news20-3pct","Newton",3.16227766016838e-06,337,0.0497394033391645,0.00228639068886428,0.730000000000004,0
"news20-3pct","Newton",1e-06,414,0.0497393260590197,0.00228639068886428,0.723999999999997,0
"news20-3pct","Newton",3.16227766016838e-07,481,0.0497392618163538,0.00228639068886428,0.768000000000001,0
"news20-3pct","Newton",1e-07,576,0.0497392442320382,0.00228639068886428,0.605000000000004,0
"news20-3pct","Newton",3.16227766016838e-08,699,0.0497392139404137,0.00228639068886428,0.625999999999998,0
"news20-3pct","Newton",1e-08,837,0.0497392072128007,0.00228639068886428,0.542000000000002,0
"news20-3pct","Newton",3.16227766016838e-09,991,0.0497392058545333,0.00228639068886428,0.441000000000003,0
"news20-3pct","Newton",1e-09,1134,0.0497392056877657,0.00228639068886428,0.463000000000001,0
"news20-3pct","Newton",3.16227766016838e-10,1288,0.049739205612434,0.00228639068886428,0.517000000000003,0
"news20-3pct","Newton",1e-10,1457,0.0497392055960209,0.00228639068886428,0.485999999999997,0
"news20-3pct","Newton",3.16227766016838e-11,1641,0.0497392055891188,0.00228639068886428,0.503999999999998,0
"news20-3pct","Newton",1e-11,1835,0.0497392055685386,0.00228639068886428,0.527000000000001,0
"news20-3pct","Newton",3.16227766016838e-12,2034,0.049739205565446,0.00228639068886428,0.557000000000002,0
"news20-3pct","Newton",1e-12,2257,0.0497392055644845,0.00228639068886428,0.582999999999998,0
"news20-3pct","Newton",3.16227766016838e-13,2479,0.0497392055643436,0.00228639068886428,0.618000000000002,0
"news20-3pct","Newton",1e-13,2754,0.0497392055642007,0.00228639068886428,0.645000000000003,0
"news20-3pct","modified.Newton",0.1,50,0.0506203942099944,0.00228639068886428,0.319000000000003,0
"news20-3pct","modified.Newton",0.0316227766016838,50,0.0506203942099944,0.00228639068886428,0.314999999999998,0
"news20-3pct","modified.Newton",0.01,50,0.0506203942099944,0.00228639068886428,0.320999999999998,0
"news20-3pct","modified.Newton",0.00316227766016838,50,0.0506203942099944,0.00228639068886428,0.327000000000005,0
"news20-3pct","modified.Newton",0.001,56,0.0506203397137614,0.00228639068886428,0.317999999999998,0
"news20-3pct","modified.Newton",0.000316227766016838,95,0.0501191408427248,0.00228639068886428,0.334000000000003,0
"news20-3pct","modified.Newton",1e-04,179,0.0498621220827126,0.00228639068886428,0.335999999999999,0
"news20-3pct","modified.Newton",3.16227766016838e-05,268,0.0497912726591647,0.00228639068886428,0.339999999999996,0
"news20-3pct","modified.Newton",1e-05,375,0.0497686504975179,0.00228639068886428,0.343000000000004,0
"news20-3pct","modified.Newton",3.16227766016838e-06,515,0.0497557894008201,0.00228639068886428,0.353999999999999,0
"news20-3pct","modified.Newton",1e-06,759,0.0497502268320067,0.00228639068886428,0.375,0
"news20-3pct","modified.Newton",3.16227766016838e-07,1044,0.0497442343842696,0.00228639068886428,0.402999999999999,0
"news20-3pct","modified.Newton",1e-07,1375,0.0497414512636179,0.00228639068886428,0.429000000000002,0
"news20-3pct","modified.Newton",3.16227766016838e-08,1810,0.0497400814643629,0.00228639068886428,0.467000000000006,0
"news20-3pct","modified.Newton",1e-08,2331,0.0497395010372115,0.00228639068886428,0.509999999999998,0
"news20-3pct","modified.Newton",3.16227766016838e-09,2955,0.0497392970516327,0.00228639068886428,0.584000000000003,0
"news20-3pct","modified.Newton",1e-09,3669,0.0497392336091548,0.00228639068886428,0.646000000000001,0
"news20-3pct","modified.Newton",3.16227766016838e-10,4479,0.049739214017006,0.00228639068886428,0.811999999999998,0
"news20-3pct","modified.Newton",1e-10,5390,0.0497392081078855,0.00228639068886428,1.414,0
"news20-3pct","modified.Newton",3.16227766016838e-11,6397,0.0497392063626948,0.00228639068886428,1.127,0
"news20-3pct","modified.Newton",1e-11,7528,0.0497392058131716,0.00228639068886428,1.093,0
"news20-3pct","modified.Newton",3.16227766016838e-12,8752,0.0497392056406266,0.00228639068886428,1.259,0
"news20-3pct","modified.Newton",1e-12,10064,0.0497392055869934,0.00228639068886428,1.417,0
"news20-3pct","modified.Newton",3.16227766016838e-13,11481,0.0497392055706548,0.00228639068886428,1.618,0
"news20-3pct","modified.Newton",1e-13,12972,0.0497392055660797,0.00228639068886428,1.772,0
