problem,solver,tol,n_iter,primal,runtime
synthetic,LIBLINEAR,0.1,5,0.12114063219352925,0.02087050599993745
synthetic,LIBLINEAR,0.03162277660168379,8,0.11758422935016558,0.02313112599995293
synthetic,LIBLINEAR,0.01,8,0.11760524016064955,0.020578943000145955
synthetic,LIBLINEAR,0.0031622776601683794,12,0.11722354787388121,0.024223770999924454
synthetic,LIBLINEAR,0.001,13,0.11720534130054086,0.025320669999928214
synthetic,LIBLINEAR,0.00031622776601683794,17,0.11716986950191217,0.03661367300037455
synthetic,LIBLINEAR,0.0001,20,0.11716983135264349,0.044265778999942995
synthetic,LIBLINEAR,3.1622776601683795e-05,24,0.11716978870258463,0.050330085000041436
synthetic,LIBLINEAR,1e-05,24,0.11716978681579515,0.05085502300016742
synthetic,LIBLINEAR,3.162277660168379e-06,28,0.11716978653850006,0.04867805499998212
synthetic,LIBLINEAR,1e-06,27,0.11716978652497603,0.05182978299990282
synthetic,LIBLINEAR,3.162277660168379e-07,5000,0.11716978651026502,5.901364801999989
synthetic,LIBLINEAR,1e-07,5000,0.11716978651025758,8.013290949999828
synthetic,LIBLINEAR,3.162277660168379e-08,5000,0.1171697865102597,8.20100148399979
synthetic,LIBLINEAR,1e-08,5000,0.11716978651026802,6.5337273670002105
synthetic,BlitzL1,0.1,-1,0.11727705484762338,0.004448632999810798
synthetic,BlitzL1,0.03162277660168379,-1,0.11716995147860054,0.006586780000361614
synthetic,BlitzL1,0.01,-1,0.11716995147860054,0.006677199000023393
synthetic,BlitzL1,0.0031622776601683794,-1,0.11716995147860054,0.006573763999767834
synthetic,BlitzL1,0.001,-1,0.11716978695683525,0.008944987000177207
synthetic,BlitzL1,0.00031622776601683794,-1,0.11716978695683525,0.009055548000105773
synthetic,BlitzL1,0.0001,-1,0.11716978651249385,0.011486871000215615
synthetic,BlitzL1,3.1622776601683795e-05,-1,0.11716978651249385,0.011365442000169423
synthetic,BlitzL1,1e-05,-1,0.11716978651249385,0.018570171000192204
synthetic,BlitzL1,3.162277660168379e-06,-1,0.11716978651020082,0.01328737199992247
synthetic,BlitzL1,1e-06,-1,0.11716978651020082,0.013554334999753337
synthetic,BlitzL1,3.162277660168379e-07,-1,0.11716978651018474,0.015954365999732545
synthetic,BlitzL1,1e-07,-1,0.11716978651018474,0.016009855999982392
synthetic,BlitzL1,3.162277660168379e-08,-1,0.11716978651018459,0.017024116999891703
synthetic,BlitzL1,1e-08,-1,0.11716978651018459,0.016907027999877755
synthetic,BlitzL1,3.1622776601683795e-09,-1,0.11716978651018459,0.017121618000146555
synthetic,BlitzL1,1e-09,-1,0.11716978651018459,0.016984723999939888
synthetic,BlitzL1,3.1622776601683795e-10,-1,0.11716978651018459,0.017385025000294263
synthetic,BlitzL1,1e-10,-1,0.11716978651018459,0.0167936840002767
