"problem","type","thresh","npasses","primal","final_lambda","runtime","jerr"
"w1a","Newton",0.1,50,0.0634352169281368,0.00239220465394627,0.0309999999999997,0
"w1a","Newton",0.0316227766016838,50,0.0634352169281368,0.00239220465394627,0.024,0
"w1a","Newton",0.01,50,0.0634352169281368,0.00239220465394627,0.0249999999999995,0
"w1a","Newton",0.00316227766016838,50,0.0634352169281368,0.00239220465394627,0.0289999999999999,0
"w1a","Newton",0.001,62,0.0634352169280846,0.00239220465394627,0.0249999999999995,0
"w1a","Newton",0.000316227766016838,83,0.0633894352377139,0.00239220465394627,0.024,0
"w1a","Newton",1e-04,154,0.0633840531791844,0.00239220465394627,0.032,0
"w1a","Newton",3.16227766016838e-05,225,0.063382247453228,0.00239220465394627,0.0439999999999996,0
"w1a","Newton",1e-05,259,0.0633814496022357,0.00239220465394627,0.0419999999999998,0
"w1a","Newton",3.16227766016838e-06,286,0.0633810623434771,0.00239220465394627,0.0510000000000002,0
"w1a","Newton",1e-06,364,0.0633808469316552,0.00239220465394627,0.0510000000000002,0
"w1a","Newton",3.16227766016838e-07,453,0.0633807959561331,0.00239220465394627,0.0520000000000005,0
"w1a","Newton",1e-07,606,0.0633807199591769,0.00239220465394627,0.0709999999999997,0
"w1a","Newton",3.16227766016838e-08,735,0.0633807095055997,0.00239220465394627,0.085,0
"w1a","Newton",1e-08,886,0.0633807074109869,0.00239220465394627,0.0899999999999999,0
"w1a","Newton",3.16227766016838e-09,1045,0.0633807068279254,0.00239220465394627,0.104,0
"w1a","Newton",1e-09,1218,0.0633807066986401,0.00239220465394627,0.113,0
"w1a","Newton",3.16227766016838e-10,1421,0.0633807066450114,0.00239220465394627,0.127,0
"w1a","Newton",1e-10,1622,0.0633807066255314,0.00239220465394627,0.138,0
"w1a","Newton",3.16227766016838e-11,1840,0.0633807066069146,0.00239220465394627,0.154,0
"w1a","Newton",1e-11,2091,0.0633807066019185,0.00239220465394627,0.173999999999999,0
"w1a","Newton",3.16227766016838e-12,2354,0.0633807066002595,0.00239220465394627,0.194,0
"w1a","Newton",1e-12,2692,0.0633807065995394,0.00239220465394627,0.23,0
"w1a","Newton",3.16227766016838e-13,3016,0.0633807065992921,0.00239220465394627,0.235,0
"w1a","Newton",1e-13,3302,0.0633807065992606,0.00239220465394627,0.246,0
"w1a","modified.Newton",0.1,50,0.0650572907905659,0.00239220465394627,0.0279999999999996,0
"w1a","modified.Newton",0.0316227766016838,50,0.0650572907905659,0.00239220465394627,0.0249999999999995,0
"w1a","modified.Newton",0.01,50,0.0650572907905659,0.00239220465394627,0.0309999999999997,0
"w1a","modified.Newton",0.00316227766016838,50,0.0650572907905659,0.00239220465394627,0.0270000000000001,0
"w1a","modified.Newton",0.001,56,0.0650571416603485,0.00239220465394627,0.0250000000000004,0
"w1a","modified.Newton",0.000316227766016838,75,0.0650583012972964,0.00239220465394627,0.024,0
"w1a","modified.Newton",1e-04,130,0.0644422148305985,0.00239220465394627,0.0309999999999997,0
"w1a","modified.Newton",3.16227766016838e-05,238,0.0637265593004668,0.00239220465394627,0.0390000000000006,0
"w1a","modified.Newton",1e-05,379,0.0634553170035379,0.00239220465394627,0.0499999999999998,0
"w1a","modified.Newton",3.16227766016838e-06,575,0.0634046663656827,0.00239220465394627,0.0670000000000002,0
"w1a","modified.Newton",1e-06,833,0.0633887290993562,0.00239220465394627,0.0830000000000002,0
"w1a","modified.Newton",3.16227766016838e-07,1158,0.063383529492324,0.00239220465394627,0.113,0
"w1a","modified.Newton",1e-07,1581,0.0633816308764241,0.00239220465394627,0.162,0
"w1a","modified.Newton",3.16227766016838e-08,2032,0.0633810535914096,0.00239220465394627,0.196,0
"w1a","modified.Newton",1e-08,2551,0.0633808558537746,0.00239220465394627,0.256,0
"w1a","modified.Newton",3.16227766016838e-09,3141,0.0633807735159275,0.00239220465394627,0.302999999999999,0
"w1a","modified.Newton",1e-09,3817,0.0633807355693492,0.00239220465394627,0.372,0
"w1a","modified.Newton",3.16227766016838e-10,4731,0.0633807159952291,0.00239220465394627,0.457000000000001,0
"w1a","modified.Newton",1e-10,5821,0.0633807094412877,0.00239220465394627,0.584000000000001,0
"w1a","modified.Newton",3.16227766016838e-11,7041,0.06338070751814,0.00239220465394627,0.736000000000001,0
"w1a","modified.Newton",1e-11,8367,0.0633807069162308,0.00239220465394627,1.159,0
"w1a","modified.Newton",3.16227766016838e-12,9795,0.0633807067197801,0.00239220465394627,1.745,0
"w1a","modified.Newton",1e-12,11375,0.0633807066335379,0.00239220465394627,1.736,0
"w1a","modified.Newton",3.16227766016838e-13,13080,0.0633807066074707,0.00239220465394627,2.381,0
"w1a","modified.Newton",1e-13,14858,0.0633807066015412,0.00239220465394627,3.521,0
