problem,solver,tol,n_iter,primal,runtime
w1a,LIBLINEAR,0.1,6,0.06367785300621155,0.026103225000042585
w1a,LIBLINEAR,0.03162277660168379,6,0.0637454343345532,0.02503047400023206
w1a,LIBLINEAR,0.01,10,0.06341430431793481,0.036117365999871254
w1a,LIBLINEAR,0.0031622776601683794,10,0.06339650420865192,0.035263594999833
w1a,LIBLINEAR,0.001,10,0.06341149250718647,0.03412487900004635
w1a,LIBLINEAR,0.00031622776601683794,13,0.06339558748083358,0.041422019000037835
w1a,LIBLINEAR,0.0001,15,0.06338254511473039,0.05224707600018519
w1a,LIBLINEAR,3.1622776601683795e-05,14,0.0633999237729569,0.044072826000046916
w1a,LIBLINEAR,1e-05,23,0.06338070674401254,0.06501559900016218
w1a,LIBLINEAR,3.162277660168379e-06,20,0.06338070682621702,0.06536542399999234
w1a,LIBLINEAR,1e-06,22,0.06338070682039859,0.06909560399981274
w1a,LIBLINEAR,3.162277660168379e-07,29,0.06338070660009393,0.08779738200018983
w1a,LIBLINEAR,1e-07,30,0.06338070660018764,0.08389272799968239
w1a,LIBLINEAR,3.162277660168379e-08,76,0.06338070659925912,0.17685403799987398
w1a,LIBLINEAR,1e-08,77,0.0633807065992504,0.17839527800015276
w1a,BlitzL1,0.1,-1,0.06340520808259113,0.014976912999827618
w1a,BlitzL1,0.03162277660168379,-1,0.06340342378813237,0.01629643899968869
w1a,BlitzL1,0.01,-1,0.06338070744326647,0.039520354000160296
w1a,BlitzL1,0.0031622776601683794,-1,0.06338070744326647,0.040189495000049646
w1a,BlitzL1,0.001,-1,0.0633807070234135,0.04086173500036239
w1a,BlitzL1,0.00031622776601683794,-1,0.06338070670135983,0.04437494900003003
w1a,BlitzL1,0.0001,-1,0.0633807065993407,0.051487361999988934
w1a,BlitzL1,3.1622776601683795e-05,-1,0.06338070659930231,0.053371971000160556
w1a,BlitzL1,1e-05,-1,0.06338070659930231,0.05357353099998363
w1a,BlitzL1,3.162277660168379e-06,-1,0.06338070659924852,0.060929176999707124
w1a,BlitzL1,1e-06,-1,0.06338070659924852,0.0622398699997575
w1a,BlitzL1,3.162277660168379e-07,-1,0.06338070659924852,0.06183914699977322
w1a,BlitzL1,1e-07,-1,0.06338070659924852,0.06119418099979157
w1a,BlitzL1,3.162277660168379e-08,-1,0.06338070659924852,0.061470370999813895
w1a,BlitzL1,1e-08,-1,0.06338070659924852,0.0614726270000574
w1a,BlitzL1,3.1622776601683795e-09,-1,0.06338070659924852,0.062137179000274045
w1a,BlitzL1,1e-09,-1,0.06338070659924852,0.06163393799988626
w1a,BlitzL1,3.1622776601683795e-10,-1,0.06338070659924852,0.06231383099975574
w1a,BlitzL1,1e-10,-1,0.06338070659924852,0.061984339999980875
