problem,tol,n_iter,primal,runtime
w1a,0.1,2,0.5521405767570615,0.01671996099997841
w1a,0.0562341325190349,10,0.3019698575745602,0.09427723600003901
w1a,0.0316227766016838,21,0.20941537687036108,0.2157523999999853
w1a,0.0177827941003892,44,0.15400635454452077,0.4536597730000267
w1a,0.01,77,0.11279642883217192,0.7967630969999959
w1a,0.0056234132519035,171,0.08288282634644772,1.6807338510000136
w1a,0.0031622776601684,171,0.06895469072910532,1.9109276550000232
w1a,0.0017782794100389,290,0.06587699616490433,3.0254150000000095
w1a,0.001,460,0.06436022368166536,4.622569547000012
w1a,0.0005623413251903,560,0.06374227411239,6.3814500859999725
w1a,0.0003162277660168,872,0.06350693038950346,9.306145241000024
w1a,0.0001778279410039,1221,0.06342304561575529,12.978811860999997
w1a,0.0001,1518,0.06339457791773595,15.021485477999988
w1a,5.6234132519e-05,1614,0.06338518926875959,16.163147061000018
w1a,3.16227766017e-05,1857,0.06338213952896063,18.51586018300003
w1a,1.77827941004e-05,1893,0.06338116385859463,19.066466366999975
w1a,1e-05,1980,0.06338085165111015,20.099782572000038
w1a,5.6234132519e-06,1952,0.0633807525048958,20.51765671100003
w1a,3.1622776602e-06,1720,0.06338072114182738,18.32874697899996
w1a,1.77827941e-06,1547,0.06338071120249039,16.743008082000017
w1a,1e-06,1880,0.06338070805522934,20.064322597
w1a,5.623413252e-07,2000,0.06338070714844332,21.636727768000014
w1a,3.16227766e-07,1869,0.06338070674508078,20.371786828999973
w1a,1.77827941e-07,1957,0.06338070664529472,22.264542487000085
w1a,1e-07,1987,0.06338070661382122,21.680642198999976
