rho,mu0,alpha,bar_rho2,H00_over_L0,asymptotic_ratio,T_gradient_1e-4,T_newton_1e-4,ratio_1e-4,T_gradient_1e-6,T_newton_1e-6,ratio_1e-6,T_gradient_1e-8,T_newton_1e-8,ratio_1e-8,gradient_loggap_slope,newton_loggap_slope,slope_ratio,newton_late_full_step_fraction
0.2,0.5,0.3,0.08373925172018111,0.21325353770046115,4.689253978072869,451,98,4.6020408163265305,851,183,4.6502732240437155,1257,269,4.672862453531598,-0.01144993404623681,-0.054154009552508015,4.72963506460603,1.0
0.2,0.7,0.3,0.08445824480770416,0.17577264925147593,5.689167252462078,627,112,5.598214285714286,1072,191,5.612565445026178,1517,268,5.66044776119403,-0.010340335800894102,-0.0591759497486157,5.722826694225821,1.0
0.2,0.9,0.3,0.08451849081436343,0.11172294632290848,8.950712748925712,913,104,8.778846153846153,1602,183,8.754098360655737,2292,261,8.781609195402298,-0.0066826209541803626,-0.05911576204195323,8.846194097687514,1.0
0.2,0.95,0.3,0.08890904971102548,0.05656265903199907,17.679508303070975,1879,109,17.238532110091743,3121,178,17.53370786516854,4378,248,17.653225806451612,-0.0036781402212839446,-0.06629850869262217,18.025008483629552,1.0
0.6,0.5,0.0,0.0018666782087835736,0.303757360793718,3.2921012922518154,26,24,1.0833333333333333,45,42,1.0714285714285714,66,63,1.0476190476190477,-0.22897632221056705,-0.23183649371894352,1.0124911234522591,1.0
0.6,0.5,0.1,0.012043770290998098,0.3037573607937313,3.292101292251672,49,24,2.0416666666666665,89,43,2.0697674418604652,130,64,2.03125,-0.11278740854062362,-0.22446148231760712,1.9901289090861671,1.0
0.6,0.5,0.2,0.04137129419464617,0.3037573607937197,3.2921012922517976,90,32,2.8125,209,67,3.1194029850746268,328,103,3.1844660194174756,-0.03870637249572899,-0.12916815890802574,3.3371290198346193,1.0
0.6,0.5,0.3,0.08656498498541451,0.3037573607937106,3.292101292251896,28,26,1.0769230769230769,254,86,2.953488372093023,506,162,3.123456790123457,-0.018333156662603562,-0.06299944144648802,3.436366284645125,1.0
0.6,0.9,0.0,0.004494704729945419,0.17021569270391457,5.874898983253395,69,24,2.875,121,45,2.688888888888889,174,70,2.4857142857142858,-0.08776158341426402,-0.1968030784338508,2.242474107433482,1.0
0.6,0.9,0.1,0.014675910365053078,0.17021569270393946,5.874898983252536,173,36,4.805555555555555,293,65,4.507692307692308,410,95,4.315789473684211,-0.038948621134533574,-0.15776959501693397,4.050710665006019,1.0
0.6,0.9,0.2,0.04379586844624015,0.17021569270395273,5.874898983252078,427,79,5.405063291139241,742,136,5.455882352941177,1044,190,5.494736842105263,-0.014956529388781966,-0.0827223656465687,5.530853013842502,1.0
0.6,0.9,0.3,0.08861977839298195,0.1702156927039359,5.874898983252659,792,141,5.617021276595745,1431,252,5.678571428571429,2042,358,5.70391061452514,-0.007378346217153723,-0.04263175433795316,5.777955260331877,1.0
