baseline_p_K,amplitude,seed,n,n_class_1,n_class_2,n_class_3,n_class_4,n_class_5,all_classes_present
0.005,0.5,1,500,422,50,6,22,0,false
0.005,0.5,2,500,392,8,63,30,7,true
0.005,0.5,3,500,157,142,108,90,3,true
0.005,1.0,1,500,395,74,2,29,0,false
0.005,1.0,2,500,371,5,80,36,8,true
0.005,1.0,3,500,58,168,138,135,1,true
0.005,1.5,1,500,372,90,2,36,0,false
0.005,1.5,2,500,348,3,98,43,8,true
0.005,1.5,3,500,38,174,130,158,0,false
0.005,2.0,1,500,361,95,2,42,0,false
0.005,2.0,2,500,332,2,108,46,12,true
0.005,2.0,3,500,30,178,129,163,0,false
0.01,0.5,1,500,421,51,5,21,2,true
0.01,0.5,2,500,390,8,65,28,9,true
0.01,0.5,3,500,156,140,109,90,5,true
0.01,1.0,1,500,395,74,2,28,1,true
0.01,1.0,2,500,368,4,82,36,10,true
0.01,1.0,3,500,58,166,139,136,1,true
0.01,1.5,1,500,371,91,2,36,0,false
0.01,1.5,2,500,344,3,96,46,11,true
0.01,1.5,3,500,37,175,130,156,2,true
0.01,2.0,1,500,361,95,2,42,0,false
0.01,2.0,2,500,331,2,107,47,13,true
0.01,2.0,3,500,30,178,128,163,1,true
0.02,0.5,1,500,420,52,4,20,4,true
0.02,0.5,2,500,386,9,64,24,17,true
0.02,0.5,3,500,149,145,107,89,10,true
0.02,1.0,1,500,393,74,2,29,2,true
0.02,1.0,2,500,361,3,84,36,16,true
0.02,1.0,3,500,58,165,138,135,4,true
0.02,1.5,1,500,371,91,2,35,1,true
0.02,1.5,2,500,338,2,97,42,21,true
0.02,1.5,3,500,37,175,129,157,2,true
0.02,2.0,1,500,361,95,2,42,0,false
0.02,2.0,2,500,323,2,105,46,24,true
0.02,2.0,3,500,30,178,128,161,3,true
0.05,0.5,1,500,417,53,5,17,8,true
0.05,0.5,2,500,374,7,64,25,30,true
0.05,0.5,3,500,142,143,102,88,25,true
0.05,1.0,1,500,392,74,2,29,3,true
0.05,1.0,2,500,351,2,84,31,32,true
0.05,1.0,3,500,54,166,134,135,11,true
0.05,1.5,1,500,369,92,2,34,3,true
0.05,1.5,2,500,327,2,92,39,40,true
0.05,1.5,3,500,36,171,129,158,6,true
0.05,2.0,1,500,361,95,2,40,2,true
0.05,2.0,2,500,315,1,100,42,42,true
0.05,2.0,3,500,30,175,128,163,4,true
