cell_id,cell_name,mu0,reg,seed,n,p,lambda,lambda_max,ybar,n_pos,n_neg
1,cell_001,0.5,0.5,1,500,1000,0.07917128683754507,0.15834257367509014,0.498,249,251
2,cell_002,0.5,0.2,1,500,1000,0.03166851473501803,0.15834257367509014,0.498,249,251
3,cell_003,0.5,0.1,1,500,1000,0.015834257367509014,0.15834257367509014,0.498,249,251
4,cell_004,0.5,0.05,1,500,1000,0.007917128683754507,0.15834257367509014,0.498,249,251
5,cell_005,0.5,0.02,1,500,1000,0.003166851473501803,0.15834257367509014,0.498,249,251
6,cell_006,0.5,0.01,1,500,1000,0.0015834257367509015,0.15834257367509014,0.498,249,251
7,cell_007,0.7,0.5,1,500,1000,0.06860904574424775,0.1372180914884955,0.574,287,213
8,cell_008,0.7,0.2,1,500,1000,0.027443618297699104,0.1372180914884955,0.574,287,213
9,cell_009,0.7,0.1,1,500,1000,0.013721809148849552,0.1372180914884955,0.574,287,213
10,cell_010,0.7,0.05,1,500,1000,0.006860904574424776,0.1372180914884955,0.574,287,213
11,cell_011,0.7,0.02,1,500,1000,0.00274436182976991,0.1372180914884955,0.574,287,213
12,cell_012,0.7,0.01,1,500,1000,0.001372180914884955,0.1372180914884955,0.574,287,213
13,cell_013,0.9,0.5,1,500,1000,0.06306968535257798,0.12613937070515596,0.708,354,146
14,cell_014,0.9,0.2,1,500,1000,0.025227874141031194,0.12613937070515596,0.708,354,146
15,cell_015,0.9,0.1,1,500,1000,0.012613937070515597,0.12613937070515596,0.708,354,146
16,cell_016,0.9,0.05,1,500,1000,0.006306968535257799,0.12613937070515596,0.708,354,146
17,cell_017,0.9,0.02,1,500,1000,0.0025227874141031193,0.12613937070515596,0.708,354,146
18,cell_018,0.9,0.01,1,500,1000,0.0012613937070515596,0.12613937070515596,0.708,354,146
19,cell_019,0.95,0.5,1,500,1000,0.05722651426800462,0.11445302853600924,0.778,389,111
20,cell_020,0.95,0.2,1,500,1000,0.022890605707201847,0.11445302853600924,0.778,389,111
21,cell_021,0.95,0.1,1,500,1000,0.011445302853600924,0.11445302853600924,0.778,389,111
22,cell_022,0.95,0.05,1,500,1000,0.005722651426800462,0.11445302853600924,0.778,389,111
23,cell_023,0.95,0.02,1,500,1000,0.002289060570720185,0.11445302853600924,0.778,389,111
24,cell_024,0.95,0.01,1,500,1000,0.0011445302853600925,0.11445302853600924,0.778,389,111
25,cell_025,0.99,0.5,1,500,1000,0.03890253233698592,0.07780506467397184,0.89,445,55
26,cell_026,0.99,0.2,1,500,1000,0.01556101293479437,0.07780506467397184,0.89,445,55
27,cell_027,0.99,0.1,1,500,1000,0.007780506467397185,0.07780506467397184,0.89,445,55
28,cell_028,0.99,0.05,1,500,1000,0.0038902532336985924,0.07780506467397184,0.89,445,55
29,cell_029,0.99,0.02,1,500,1000,0.001556101293479437,0.07780506467397184,0.89,445,55
30,cell_030,0.99,0.01,1,500,1000,0.0007780506467397185,0.07780506467397184,0.89,445,55
31,cell_031,0.5,0.5,2,500,1000,0.07663724828540176,0.15327449657080353,0.474,237,263
32,cell_032,0.5,0.2,2,500,1000,0.030654899314160707,0.15327449657080353,0.474,237,263
33,cell_033,0.5,0.1,2,500,1000,0.015327449657080354,0.15327449657080353,0.474,237,263
34,cell_034,0.5,0.05,2,500,1000,0.007663724828540177,0.15327449657080353,0.474,237,263
35,cell_035,0.5,0.02,2,500,1000,0.0030654899314160704,0.15327449657080353,0.474,237,263
36,cell_036,0.5,0.01,2,500,1000,0.0015327449657080352,0.15327449657080353,0.474,237,263
37,cell_037,0.7,0.5,2,500,1000,0.07280085925900914,0.14560171851801829,0.568,284,216
38,cell_038,0.7,0.2,2,500,1000,0.029120343703603658,0.14560171851801829,0.568,284,216
39,cell_039,0.7,0.1,2,500,1000,0.014560171851801829,0.14560171851801829,0.568,284,216
40,cell_040,0.7,0.05,2,500,1000,0.0072800859259009145,0.14560171851801829,0.568,284,216
41,cell_041,0.7,0.02,2,500,1000,0.0029120343703603656,0.14560171851801829,0.568,284,216
42,cell_042,0.7,0.01,2,500,1000,0.0014560171851801828,0.14560171851801829,0.568,284,216
43,cell_043,0.9,0.5,2,500,1000,0.06475712425759585,0.1295142485151917,0.712,356,144
